date,equity_dm,rf,cash,futures,duration,n_ccy,scv_dm,rec9060,w_equity,w_bond,lev15,acwi,ntsg,equity_dm_exc
2019-05-13,-0.0192,0.0001,9.753443768677016e-05,0.004006002111953666,6.918879212639887,4.0,-0.0139,-0.014842393582043534,0.8901417506989643,0.5918582319624055,-0.028672313084605494,-0.02510952439509484,,-0.019299999999999998
2019-05-14,0.0063,0.0001,-0.000625273769940572,-0.000922359398794681,6.94084424935531,4.0,0.0034,0.004985861347718501,0.8913057170049521,0.5889219487811544,0.009426490255374231,0.009289114749312155,,0.0062
2019-05-15,0.0054,0.0001,9.650827270842213e-06,0.0027059307719803105,6.934821708403832,4.0,0.001,0.006400237225514083,0.8904198694817841,0.5851766792153378,0.008049737268082557,0.004043861368038915,,0.0053
2019-05-16,0.0072,0.0001,-0.000653146358056914,-0.0016356995613948085,6.950092290111925,4.0,0.0008,0.005374840885189913,0.8920363391552862,0.5820482624173433,0.010716986744027768,0.007500143995683217,,0.0070999999999999995
2019-05-17,-0.0045,0.0001,-0.00029465464364400164,0.0008276554493400195,6.94130106760806,4.0,-0.0039,-0.003571610998705066,0.8912052139734183,0.5841345638503149,-0.006734270506231876,-0.007581998806782342,,-0.0046
2019-05-20,-0.0052,0.0001,0.0001403706895132255,-0.0014763544308997027,6.946270585539888,4.0,-0.003,-0.005503455304237681,0.8914771515188898,0.587367112501144,-0.007867192830038894,-0.006111964020703797,,-0.0053
2019-05-21,0.0057,0.0001,-0.00039200840176256766,-0.001174241804878279,6.938847829398831,4.0,0.002,0.00434173744476718,0.8926827770431606,0.5848279431217461,0.008488874558218562,0.009084609420548562,,0.0056
2019-05-22,-0.0026,0.0001,3.105823600679547e-05,0.0019760917987895563,6.933075864454774,4.0,-0.0052,-0.0011693570994593117,0.8914041716194191,0.5855126164566227,-0.0039149148607454665,-0.004016658676639917,,-0.0026999999999999997
2019-05-23,-0.0108,0.0001,0.0006299500373446494,0.004746983292320894,6.944021384525412,4.0,-0.0105,-0.006786683611340716,0.8878022394746837,0.5895134577791976,-0.01616754836916645,-0.011263930121503507,,-0.0109
2019-05-24,0.0041,0.0001,0.0005261995224337774,-0.0004864424030208095,6.970080914841504,4.0,0.0065,0.003404840745164117,0.8884173092034449,0.5875130693423841,0.006119866764842108,0.005484980831178099,,0.004
2019-05-27,0.0005,0.0001,0.00014650638341391365,0.0001539513343712259,6.968115359179182,4.0,0.0005,0.0005288006434711612,0.8883917357365346,0.5872025562527897,0.0006381532881232221,0.0,,0.0004
2019-05-28,-0.0048,0.0001,-0.00031372346259861893,0.0030835705138380714,6.968707895856003,4.0,-0.0029,-0.0024959928258920794,0.8863397530699647,0.5886718770346727,-0.007229975347442852,-0.008532476767939223,,-0.0049
2019-05-29,-0.0094,0.0001,-0.0003236542569880319,0.001035661555335211,6.986728904577545,4.0,-0.0076,-0.007766055336911215,0.8848801878968504,0.5932793170410585,-0.014158080567215348,-0.005784447213978194,,-0.0095
2019-05-30,0.0012,0.0001,-0.0002074897511383296,0.00136942244162914,6.991833331053008,4.0,-0.0013,0.0018430091069094878,0.8843122485948147,0.5921879093311594,0.001773323119471204,0.004399040430113965,,0.0010999999999999998
2019-05-31,-0.009,0.0001,0.0007780403112867824,0.004983067915193122,7.000828229078184,4.0,-0.005,-0.004925248813861471,0.8806910609608372,0.5951190185714851,-0.013615156926145788,-0.009748625885649953,,-0.009099999999999999
2019-06-03,0.0003,0.0001,0.0009164528085434037,0.004320465897549086,7.02772498373811,4.0,0.0012,0.0029316674857096103,0.897638422622474,0.5982461412392776,0.00033767123287664624,0.0018546943310653319,,0.00019999999999999998
