Date,NTSG.L,NTSX,NTSI,URTH,ACWI,VT,IEF,SHY,TLT,IEI
2022-04-14,,36.761512756347656,31.221830368041992,116.05659484863281,89.94817352294922,90.4159164428711,89.50438690185547,72.11088562011719,102.15377807617188,105.99170684814453
2022-04-18,,36.647727966308594,31.024965286254883,115.66544342041016,89.79997253417969,90.15913391113281,89.24482727050781,72.11088562011719,101.64617919921875,105.89476776123047
2022-04-19,,37.04596710205078,30.97926902770996,117.10904693603516,90.75401306152344,91.18618774414062,88.65640258789062,71.9461669921875,100.88481140136719,105.33954620361328
2022-04-20,,37.083900451660156,31.372112274169922,117.27667999267578,90.8373794555664,91.25953674316406,89.34864044189453,71.9894790649414,102.91519927978516,105.66560363769531
2022-04-21,,36.5339469909668,30.93708038330078,115.5257339477539,89.42948150634766,89.86570739746094,88.8554458618164,71.86813354492188,102.15377807617188,105.23380279541016
2022-04-22,,35.56678771972656,30.500301361083984,112.67576599121094,87.41950988769531,87.8299789428711,88.89867401123047,71.85078430175781,101.51084899902344,105.27787780761719
2022-04-25,,35.81332015991211,30.276193618774414,112.94586944580078,87.55845642089844,87.93084716796875,89.46976470947266,71.96349334716797,102.52604675292969,105.6832275390625
2022-04-26,,35.09268569946289,29.787561416625977,109.90963745117188,85.14093780517578,85.52832794189453,90.06678771972656,72.09352111816406,103.55816650390625,106.16796112060547
2022-04-27,,34.98838424682617,29.861371994018555,110.31942749023438,85.46511840820312,85.84928131103516,89.5649642944336,72.05887603759766,102.22991943359375,105.91239166259766
2022-04-28,,35.8038330078125,30.215551376342773,112.69439697265625,87.2527847290039,87.62823486328125,89.43517303466797,72.00685119628906,102.3822021484375,105.75376892089844
2022-04-29,,34.523773193359375,29.907073974609375,109.36013793945312,84.96495056152344,85.36324310302734,88.95925903320312,71.86813354492188,101.05400085449219,105.35718536376953
2022-05-02,,34.523773193359375,29.675060272216797,109.75131225585938,85.24282836914062,85.63835906982422,88.2965316772461,71.86292266845703,99.3023452758789,104.97352600097656
2022-05-03,,34.751346588134766,29.926408767700195,110.33805847167969,85.76152801513672,86.09684753417969,88.40045928955078,71.8282470703125,99.97183990478516,105.01762390136719
2022-05-04,,35.74694061279297,30.414167404174805,113.18801879882812,87.7807388305664,88.16010284423828,88.97225189208984,72.01903533935547,100.52265930175781,105.59088897705078
2022-05-05,,34.47636032104492,29.411409378051758,109.06209564208984,84.78897094726562,85.15235900878906,88.07994842529297,71.89759063720703,97.76847839355469,105.03526306152344
2022-05-06,,34.03071212768555,29.104692459106445,108.35426330566406,83.9460678100586,84.30872344970703,87.57746124267578,71.88894653320312,96.32786560058594,104.797119140625
2022-05-09,,33.016143798828125,28.362943649291992,104.8430404663086,81.28773498535156,81.51185607910156,88.22721862792969,72.07109069824219,97.17526245117188,105.37921142578125
2022-05-10,,33.272159576416016,28.592329025268555,105.085205078125,81.57488250732422,81.79612731933594,88.5217514038086,72.02774047851562,98.05663299560547,105.48507690429688
2022-05-11,,32.437744140625,28.491260528564453,103.69746398925781,80.55599212646484,80.7507553100586,89.06755828857422,72.0363998413086,99.94642639160156,105.6702651977539
2022-05-12,,32.978214263916016,28.473682403564453,103.66023254394531,80.4448471069336,80.63156127929688,89.36209106445312,72.14048767089844,99.7599868774414,105.9613265991211
2022-05-13,,33.58505630493164,29.10645294189453,106.32390594482422,82.56596374511719,82.85984802246094,88.89427185058594,72.11442565917969,98.28543853759766,105.71436309814453
2022-05-16,,33.42386245727539,29.167966842651367,106.00725555419922,82.29734802246094,82.59392547607422,89.26681518554688,72.15784454345703,98.18374633789062,105.98779296875
2022-05-17,,33.87900161743164,29.573116302490234,108.15868377685547,83.964599609375,84.29954528808594,88.5910873413086,72.00171661376953,96.99732208251953,105.37039947509766
2022-05-18,,32.854957580566406,28.993078231811523,104.34942626953125,81.15806579589844,81.49351501464844,89.2234878540039,72.0363998413086,99.06505584716797,105.6791000366211
2022-05-19,,32.58945083618164,29.243547439575195,104.3028564453125,81.2321548461914,81.7044448852539,89.54402923583984,72.14048767089844,99.3023452758789,105.9613265991211
2022-05-20,,32.8454704284668,29.506328582763672,104.61021423339844,81.4637222290039,81.93367004394531,89.95987701416016,72.19251251220703,100.429443359375,106.17301940917969
2022-05-23,,33.300601959228516,29.887737274169922,106.40773010253906,82.77899932861328,83.21748352050781,89.41404724121094,72.15784454345703,98.77693176269531,105.8467025756836
2022-05-24,,32.997188568115234,29.98090171813965,105.64401245117188,82.09357452392578,82.51139831542969,90.18509674072266,72.32262420654297,100.72603607177734,106.43762969970703
2022-05-25,,33.45231246948242,29.929927825927734,106.42634582519531,82.65857696533203,83.09827423095703,90.3670425415039,72.37467956542969,101.1243667602539,106.6404800415039
2022-05-26,,34.06863021850586,30.285856246948242,108.28907012939453,84.02017211914062,84.50128173828125,90.32373046875,72.39200592041016,100.66673278808594,106.63163757324219
2022-05-27,,34.73237609863281,30.585540771484375,110.52433013916016,85.73373413085938,86.2069091796875,90.45369720458984,72.40935516357422,100.9124526977539,106.6492691040039
2022-05-31,,34.35309600830078,30.35177230834961,109.84445190429688,85.3447265625,85.78507995605469,89.5093765258789,72.29660034179688,98.77693176269531,106.12010192871094
2022-06-01,,34.191898345947266,30.046817779541016,108.97827911376953,84.71485137939453,85.1431655883789,89.00540161132812,72.16207122802734,98.66404724121094,105.64430236816406
2022-06-02,,34.751346588134766,30.487991333007812,111.18560028076172,86.41917419433594,86.86713409423828,89.13551330566406,72.17941284179688,98.7149658203125,105.74139404296875
2022-06-03,,34.305694580078125,30.088998794555664,109.350830078125,84.98347473144531,85.47329711914062,88.96202850341797,72.15336608886719,98.50275421142578,105.59134674072266
2022-06-06,,34.106571197509766,30.133817672729492,109.74199676513672,85.28913879394531,85.80339050292969,88.29412841796875,72.05790710449219,96.68598937988281,105.1676254272461
2022-06-07,,34.55221939086914,30.186548233032227,110.65473175048828,85.93751525878906,86.43614959716797,88.64974212646484,72.06658172607422,97.730224609375,105.36184692382812
2022-06-08,,34.201385498046875,29.787561416625977,109.38807678222656,85.13168334960938,85.58332824707031,88.32012939453125,72.01451873779297,96.86428833007812,105.17647552490234
2022-06-09,,33.35749053955078,29.230369567871094,106.8394546508789,83.14696502685547,83.64846801757812,88.2420883178711,71.9623794555664,97.18689727783203,105.05287170410156
2022-06-10,,32.33344268798828,28.468416213989258,103.8051528930664,80.98741149902344,81.45685577392578,87.37464141845703,71.6585922241211,96.58412170410156,104.19662475585938
2022-06-13,,30.560317993164062,27.432254791259766,99.81263732910156,77.98649597167969,78.42160034179688,85.82201385498047,71.29402923583984,93.55340576171875,103.03143310546875
2022-06-14,,30.579280853271484,26.98843765258789,99.31475067138672,77.75279235839844,78.17400360107422,85.13673400878906,71.15512084960938,92.37338256835938,102.59890747070312
2022-06-15,,31.214567184448242,27.437522888183594,100.95872497558594,78.9400634765625,79.41193389892578,86.32508850097656,71.43290710449219,94.09671783447266,103.52577209472656
2022-06-16,,30.437053680419922,27.093015670776367,97.9338150024414,76.63093566894531,76.91770935058594,86.88890075683594,71.52838897705078,94.84380340576172,103.90534973144531
2022-06-17,,30.522390365600586,27.0227108001709,98.01835632324219,76.59354400634766,77.00023651123047,86.91492462158203,71.5110092163086,95.14942169189453,103.8082275390625
2022-06-21,,31.157678604125977,27.432254791259766,100.05689239501953,78.30435180664062,78.61465454101562,86.46387481689453,71.48497009277344,93.53643798828125,103.58755493164062
2022-06-22,,31.26198387145996,27.365459442138672,99.72809600830078,77.85562133789062,78.17134094238281,87.55683135986328,71.6933364868164,96.10873413085938,104.39082336425781
2022-06-23,,31.660228729248047,27.433128356933594,100.34810638427734,78.30435180664062,78.6423568725586,88.05126953125,71.75405883789062,96.89823913574219,104.77040100097656
2022-06-24,,32.54984664916992,28.05366325378418,103.39180755615234,80.68827056884766,81.0067138671875,87.73897552490234,71.7367172241211,95.556884765625,104.6291732788086
2022-06-27,,32.350040435791016,27.95545196533203,103.13817596435547,80.45453643798828,80.80352783203125,87.24453735351562,71.6585922241211,94.74193572998047,104.3025894165039
2022-06-28,,31.693523406982422,27.7849178314209,101.39086151123047,79.26725769042969,79.65827941894531,87.35730743408203,71.6412353515625,95.18338775634766,104.31139373779297
