Date,SHY,IEI,IEF,TLT
2022-12-28,71.24342346191406,102.44269561767578,84.1131362915039,85.83594512939453
2022-12-29,71.29605865478516,102.62983703613281,84.52619171142578,86.81027221679688
2022-12-30,71.20832061767578,102.39810943603516,84.17466735839844,85.84455871582031
2023-01-03,71.2697525024414,102.70116424560547,84.83380889892578,87.4828109741211
2023-01-04,71.33992767333984,103.10223388671875,85.48412322998047,88.68133544921875
2023-01-05,71.24342346191406,102.93285369873047,85.36109924316406,89.05207824707031
2023-01-06,71.5153579711914,103.82415008544922,86.45960998535156,90.69036865234375
2023-01-09,71.58555603027344,104.0113296508789,86.6793441772461,91.17320251464844
2023-01-10,71.5241470336914,103.78848266601562,86.13446807861328,89.66429138183594
2023-01-11,71.58555603027344,104.10044860839844,86.68809509277344,91.1214828491211
2023-01-12,71.74348449707031,104.72431945800781,87.46146392822266,92.91495513916016
2023-01-13,71.62065887451172,104.39456939697266,86.9957275390625,92.04407501220703
2023-01-17,71.66452026367188,104.34107971191406,86.72327423095703,91.4490966796875
2023-01-18,71.82241821289062,105.15214538574219,87.90089416503906,93.66508483886719
2023-01-19,71.80487060546875,104.99171447753906,87.73394775390625,93.0787582397461
2023-01-20,71.74348449707031,104.60848999023438,87.15388488769531,91.56983184814453
2023-01-23,71.67329406738281,104.34999084472656,86.87268829345703,91.13871002197266
2023-01-24,71.69962310791016,104.60848999023438,87.37361907958984,92.44933319091797
2023-01-25,71.74348449707031,104.71540069580078,87.47028350830078,92.67352294921875
2023-01-26,71.69962310791016,104.49258422851562,87.15388488769531,92.24239349365234
2023-01-27,71.69962310791016,104.40347290039062,87.02207946777344,92.00957489013672
2023-01-30,71.62940979003906,104.1539077758789,86.74964141845703,91.67330932617188
2023-01-31,71.76101684570312,104.54610443115234,87.18905639648438,92.40621948242188
2023-02-01,71.88582611083984,105.09151458740234,87.81611633300781,93.51704406738281
2023-02-02,71.89462280273438,105.07364654541016,87.7809066772461,93.63809204101562
2023-02-03,71.63095092773438,104.27920532226562,86.83853149414062,92.23765563964844
2023-02-06,71.42880249023438,103.54722595214844,86.08991241455078,91.55472564697266
2023-02-07,71.46393585205078,103.51148986816406,85.87858581542969,90.81993103027344
2023-02-08,71.49032592773438,103.69003295898438,86.19564819335938,91.25215148925781
