Date,NTSG.L,URTH,NTSX,SPY
2016-03-30,,57.719852447509766,,174.58267211914062
2016-03-31,,57.397159576416016,,174.15890502929688
2016-04-01,,57.25649642944336,,175.3453369140625
2016-04-04,,57.107540130615234,,174.77755737304688
2016-04-05,,56.3215217590332,,173.03187561035156
2016-04-06,,57.16545867919922,,174.92161560058594
2016-04-07,,56.37115478515625,,172.82850646972656
2016-04-08,,57.04962921142578,,173.29457092285156
2016-04-11,,56.80141067504883,,172.8878631591797
2016-04-12,,57.43852996826172,,174.49794006347656
2016-04-13,,58.30728530883789,,176.2605438232422
2016-04-14,,58.34038162231445,,176.26901245117188
2016-04-15,,58.15835952758789,,176.07406616210938
2016-04-18,,58.53068161010742,,177.311279296875
2016-04-19,,59.14297866821289,,177.87062072753906
2016-04-20,,59.30018997192383,,178.04010009765625
2016-04-21,,58.82855987548828,,177.08250427246094
2016-04-22,,59.068511962890625,,177.08250427246094
2016-04-25,,58.70444869995117,,176.77743530273438
2016-04-26,,58.820274353027344,,177.0400848388672
2016-04-27,,58.96921157836914,,177.40455627441406
2016-04-28,,58.38175582885742,,175.79443359375
2016-04-29,,58.009437561035156,,174.84536743164062
2016-05-02,,58.77891159057617,,176.23512268066406
2016-05-03,,57.9846076965332,,174.70130920410156
2016-05-04,,57.30613327026367,,173.72677612304688
2016-05-05,,57.364044189453125,,173.69287109375
2016-05-06,,57.30613327026367,,174.32846069335938
2016-05-09,,57.58744812011719,,174.47247314453125
2016-05-10,,58.21626281738281,,176.64181518554688
2016-05-11,,57.67845153808594,,174.98944091796875
2016-05-12,,57.81085968017578,,175.040283203125
2016-05-13,,57.12411117553711,,173.51490783691406
2016-05-16,,58.02597427368164,,175.2266845703125
2016-05-17,,57.264766693115234,,173.5912322998047
2016-05-18,,57.38059616088867,,173.64205932617188
2016-05-19,,57.1489372253418,,173.0404052734375
2016-05-20,,57.47161102294922,,174.133544921875
2016-05-23,,57.43852996826172,,173.896240234375
2016-05-24,,58.08388900756836,,176.15037536621094
2016-05-25,,58.64651870727539,,177.34518432617188
2016-05-26,,58.51414108276367,,177.3960418701172
2016-05-27,,58.60516357421875,,178.15870666503906
2016-05-31,,58.48103713989258,,177.8197784423828
2016-06-01,,58.57206726074219,,178.18411254882812
2016-06-02,,58.6299934387207,,178.72645568847656
2016-06-03,,58.87820816040039,,178.19261169433594
2016-06-06,,59.04368591308594,,179.0993194580078
2016-06-07,,59.3084602355957,,179.37899780273438
2016-06-08,,59.59804916381836,,179.96368408203125
2016-06-09,,59.09332275390625,,179.7179412841797
2016-06-10,,58.075626373291016,,178.01463317871094
2016-06-13,,57.70328903198242,,176.64181518554688
2016-06-14,,57.24821090698242,,176.29441833496094
2016-06-15,,57.397159576416016,,176.04869079589844
2016-06-16,,57.479896545410156,,176.57408142089844
2016-06-17,,57.62055969238281,,175.91650390625
2016-06-20,,58.456233978271484,,177.04940795898438
2016-06-21,,58.64651870727539,,177.55194091796875
2016-06-22,,58.56198501586914,,177.2623291015625
2016-06-23,,59.82614517211914,,179.57081604003906
2016-06-24,,56.4857292175293,,173.12252807617188
2016-06-27,,55.22154998779297,,170.02197265625
2016-06-28,,56.30153274536133,,173.08840942382812
2016-06-29,,57.540592193603516,,176.0357208251953
2016-06-30,,58.042903900146484,,178.4378204345703
2016-07-01,,58.20197296142578,,178.81265258789062
2016-07-05,,57.515480041503906,,177.5264129638672
2016-07-06,,57.649410247802734,,178.5911865234375
2016-07-07,,57.515480041503906,,178.48043823242188
2016-07-08,,58.40291976928711,,181.13807678222656
2016-07-11,,58.813133239746094,,181.7769317626953
2016-07-12,,59.49964141845703,,183.09725952148438
2016-07-13,,59.57498550415039,,183.07168579101562
2016-07-14,,59.82614517211914,,184.0938720703125
2016-07-15,,59.650333404541016,,183.84686279296875
2016-07-18,,59.78428268432617,,184.34085083007812
2016-07-19,,59.700557708740234,,184.15345764160156
2016-07-20,,59.87636184692383,,184.92015075683594
2016-07-21,,59.82614517211914,,184.22166442871094
2016-07-22,,59.96846008300781,,185.0479278564453
2016-07-25,,59.90986251831055,,184.5453643798828
2016-07-26,,60.0186882019043,,184.6304931640625
2016-07-27,,59.83451843261719,,184.4345703125
2016-07-28,,60.11078643798828,,184.64755249023438
2016-07-29,,60.45405197143555,,184.94569396972656
2016-08-01,,60.18613052368164,,184.7923583984375
2016-08-02,,59.92660903930664,,183.6083526611328
2016-08-03,,59.775909423828125,,184.1449737548828
2016-08-04,,59.92660903930664,,184.34085083007812
2016-08-05,,60.35356521606445,,185.84860229492188
2016-08-08,,60.48752212524414,,185.73782348632812
2016-08-09,,60.75542068481445,,185.84860229492188
2016-08-10,,60.60472106933594,,185.3886260986328
2016-08-11,,61.09029769897461,,186.24893188476562
2016-08-12,,61.05680847167969,,186.0870819091797
2016-08-15,,61.224246978759766,,186.62376403808594
2016-08-16,,61.048431396484375,,185.66123962402344
2016-08-17,,61.1070442199707,,186.0104522705078
2016-08-18,,61.27449417114258,,186.42784118652344
2016-08-19,,61.05680847167969,,186.1552734375
2016-08-22,,60.94798278808594,,186.1467742919922
2016-08-23,,61.257755279541016,,186.5215301513672
2016-08-24,,60.98984146118164,,185.56756591796875
2016-08-25,,60.7052116394043,,185.43975830078125
2016-08-26,,60.579627990722656,,185.09048461914062
2016-08-29,,60.89774703979492,,186.00193786621094
2016-08-30,,60.763797760009766,,185.6952667236328
2016-08-31,,60.654964447021484,,185.16717529296875
2016-09-01,,60.814029693603516,,185.17568969726562
2016-09-02,,61.174015045166016,,186.0104522705078
2016-09-06,,61.600990295410156,,186.5726776123047
2016-09-07,,61.55076217651367,,186.55557250976562
2016-09-08,,61.433555603027344,,186.12969970703125
2016-09-09,,59.94336700439453,,181.67474365234375
2016-09-12,,60.654964447021484,,184.28126525878906
2016-09-13,,59.524749755859375,,181.6321563720703
2016-09-14,,59.507999420166016,,181.56399536132812
2016-09-15,,59.87636184692383,,183.3783416748047
2016-09-16,,59.69219970703125,,182.6694793701172
2016-09-19,,59.775909423828125,,182.70370483398438
2016-09-20,,59.60844802856445,,182.7122802734375
2016-09-21,,60.69681930541992,,184.76699829101562
2016-09-22,,61.073570251464844,,185.93130493164062
2016-09-23,,60.680091857910156,,184.91253662109375
2016-09-26,,60.11916732788086,,183.41429138183594
2016-09-27,,60.46240997314453,,184.55294799804688
2016-09-28,,60.85589599609375,,185.46900939941406
2016-09-29,,60.3200798034668,,183.79100036621094
2016-09-30,,60.830787658691406,,185.1779022216797
2016-10-03,,60.5461311340332,,184.7327117919922
2016-10-04,,60.49589538574219,,183.79100036621094
