Date,SPY,SSO,UPRO
2006-11-08,96.3714828491211,4.40440034866333,
2006-11-09,95.86500549316406,4.353954792022705,
2006-11-10,95.90666961669922,4.361599922180176,
2006-11-13,96.14253997802734,4.37943172454834,
2006-11-14,96.8640365600586,4.44159460067749,
2006-11-15,97.1415786743164,4.4731855392456055,
2006-11-16,97.39128112792969,4.492547512054443,
2006-11-17,97.41900634765625,4.49152946472168,
2006-11-20,97.47457885742188,4.488982677459717,
2006-11-21,97.57170867919922,4.502740383148193,
2006-11-22,97.76596069335938,4.522101402282715,
2006-11-24,97.37044525146484,4.486432075500488,
2006-11-27,96.03152465820312,4.366695404052734,
2006-11-28,96.44778442382812,4.393701553344727,
2006-11-29,97.45375061035156,4.472677230834961,
2006-11-30,97.49539184570312,4.476243019104004,
2006-12-01,97.2802963256836,4.455862522125244,
2006-12-04,98.02264404296875,4.52719783782959,
2006-12-05,98.44583129882812,4.5638837814331055,
2006-12-06,98.36264038085938,4.550633907318115,
2006-12-07,97.93245697021484,4.5185346603393555,
2006-12-08,98.11282348632812,4.527708053588867,
2006-12-11,98.39727783203125,4.551146030426025,
2006-12-12,98.32093048095703,4.542993545532227,
2006-12-13,98.425048828125,4.565412521362305,
2006-12-14,99.29222106933594,4.626555919647217,
2006-12-15,99.30126953125,4.645918369293213,
2006-12-18,99.02922821044922,4.616364002227783,
2006-12-19,99.21759033203125,4.641331672668457,
2006-12-20,99.1617660522461,4.623625755310059,
2006-12-21,98.79900360107422,4.595978260040283,
2006-12-22,98.1920394897461,4.530580997467041,
2006-12-26,98.7710952758789,4.590661525726318,
2006-12-27,99.4199447631836,4.654999256134033,
2006-12-28,99.21061706542969,4.636389255523682,
2006-12-29,98.79900360107422,4.588535308837891,
2007-01-03,98.62459564208984,4.5587592124938965,
2007-01-04,98.83387756347656,4.582156181335449,
2007-01-05,98.0455551147461,4.5098443031311035,
2007-01-08,98.49900817871094,4.54759407043457,
2007-01-09,98.41533660888672,4.535895824432373,
2007-01-10,98.74320220947266,4.556633949279785,
2007-01-11,99.17575073242188,4.611397743225098,
2007-01-12,99.9291763305664,4.665629863739014,
2007-01-16,99.73379516601562,4.658718585968018,
2007-01-17,99.77571868896484,4.656591892242432,
2007-01-18,99.4407958984375,4.6177802085876465,
2007-01-19,99.63616943359375,4.645426273345947,
2007-01-22,99.32919311523438,4.595446586608887,
2007-01-23,99.62220764160156,4.627878665924072,
2007-01-24,100.42449188232422,4.700193405151367,
2007-01-25,99.24549102783203,4.605547904968262,
2007-01-26,99.15479278564453,4.59385347366333,
