Date,NTSG.L,ACWI,VT,URTH,NTSX,SPY
2009-02-09,,21.574474334716797,21.3930721282959,,,63.532196044921875
2009-02-10,,20.584171295166016,20.395965576171875,,,60.621803283691406
2009-02-11,,20.718568801879883,20.540380477905273,,,60.97924041748047
2009-02-12,,20.76100730895996,20.49223518371582,,,61.02297592163086
2009-02-13,,20.499286651611328,20.416593551635742,,,60.36652374267578
2009-02-17,,19.523134231567383,19.32322120666504,,,57.784385681152344
2009-02-18,,19.38873863220215,19.206315994262695,,,57.64580535888672
2009-02-19,,19.233116149902344,19.15130615234375,,,57.025794982910156
2009-02-20,,18.992612838745117,18.56679344177246,,,56.471473693847656
2009-02-23,,18.370134353637695,18.271095275878906,,,54.45096206665039
2009-02-24,,19.042125701904297,18.98627281188965,,,56.515220642089844
2009-02-25,,18.723814010620117,18.711196899414062,,,56.07026672363281
2009-02-26,,18.554048538208008,18.580547332763672,,,55.158504486083984
2009-02-27,,18.34891700744629,18.291732788085938,,,53.925777435302734
2009-03-02,,17.3232421875,17.356517791748047,,,51.496829986572266
2009-03-03,,17.252511978149414,17.21210289001465,,,51.1102294921875
2009-03-04,,17.94571876525879,17.941028594970703,,,52.321041107177734
2009-03-05,,17.224212646484375,17.205228805541992,,,50.18386459350586
2009-03-06,,17.188844680786133,17.143341064453125,,,50.27140426635742
2009-03-09,,16.927127838134766,16.84764862060547,,,49.68058395385742
2009-03-10,,17.995237350463867,18.044170379638672,,,52.64201354980469
2009-03-11,,18.07304573059082,18.057920455932617,,,52.984840393066406
2009-03-12,,18.68845558166504,18.724952697753906,,,55.07095718383789
2009-03-13,,18.794546127319336,19.25445556640625,,,55.5013313293457
2009-03-16,,18.89358139038086,18.83498191833496,,,55.33354949951172
2009-03-17,,19.466543197631836,19.39198875427246,,,57.025794982910156
2009-03-18,,19.88389015197754,19.845844268798828,,,58.30226516723633
2009-03-19,,19.763635635375977,19.742692947387695,,,57.580162048339844
2009-03-20,,19.445322036743164,19.385108947753906,,,56.354042053222656
2009-03-23,,20.9307804107666,20.88420295715332,,,60.401893615722656
2009-03-24,,20.364891052246094,20.28594398498535,,,59.211795806884766
2009-03-25,,20.62661361694336,20.567882537841797,,,59.83623504638672
2009-03-26,,21.079326629638672,20.918588638305664,,,61.05571746826172
2009-03-27,,20.44269561767578,20.34095001220703,,,59.95378494262695
2009-03-30,,19.66460418701172,19.502010345458984,,,57.88209533691406
2009-03-31,,20.03950309753418,19.907730102539062,,,58.41836929321289
2009-04-01,,20.513437271118164,20.327199935913086,,,59.54971694946289
2009-04-02,,21.33397674560547,21.186777114868164,,,61.29078674316406
2009-04-03,,21.517887115478516,21.283050537109375,,,61.90057373046875
2009-04-06,,21.29861068725586,21.0629940032959,,,61.41569137573242
2009-04-07,,20.817598342895508,20.581636428833008,,,59.983150482177734
2009-04-08,,21.029808044433594,20.904836654663086,,,60.629638671875
2009-04-09,,21.751317977905273,21.633752822875977,,,63.03923797607422
2009-04-13,,22.076702117919922,21.76439666748047,,,63.0539665222168
2009-04-14,,21.779611587524414,21.46871566772461,,,61.9666748046875
2009-04-15,,21.899864196777344,21.730026245117188,,,62.62787628173828
2009-04-16,,22.211103439331055,21.984447479248047,,,63.546146392822266
2009-04-17,,22.154512405395508,21.94320297241211,,,63.972225189208984
