date,usd_per_eur,usd_per_gbp,usd_per_jpy
2020-01-13,1.1138,1.2983,0.009096697898662786
2020-01-14,1.113,1.3018,0.009086778736937756
2020-01-15,1.116,1.303,0.00909587047480444
2020-01-16,1.1131,1.3076,0.00907770515613653
2020-01-17,1.1093,1.3029,0.00907770515613653
2020-01-20,,,
2020-01-21,1.1096,1.3047,0.009095043201455207
2020-01-22,1.1085,1.3136,0.009096697898662786
2020-01-23,1.1041,1.3104,0.009141603437242893
2020-01-24,1.1026,1.3071,0.009148293843198244
2020-01-27,1.1019,1.3054,0.009178522257916474
2020-01-28,1.1008,1.2996,0.009160025648071814
2020-01-29,1.1004,1.3012,0.009161704076958314
2020-01-30,1.1032,1.3106,0.009195402298850575
2020-01-31,1.1082,1.3195,0.009216589861751152
2020-02-03,1.1062,1.3006,0.009208951100469657
2020-02-04,1.1043,1.3029,0.009139932364500503
2020-02-05,1.1006,1.3,0.00911244760342628
2020-02-06,1.0979,1.2935,0.0091000091000091
2020-02-07,1.095,1.2908,0.009106638739641197
2020-02-10,1.0916,1.2919,0.009109957183201239
2020-02-11,1.0917,1.2945,0.009109127345600291
2020-02-12,1.0893,1.2978,0.00909090909090909
2020-02-13,1.0848,1.3051,0.009106638739641197
2020-02-14,1.0839,1.3039,0.009109957183201239
2020-02-17,,,
2020-02-18,1.0815,1.3017,0.009107468123861567
2020-02-19,1.0794,1.2934,0.008995232526760816
2020-02-20,1.0797,1.2877,0.008939746111210442
2020-02-21,1.0855,1.2966,0.008949346697691068
2020-02-24,1.0857,1.2923,0.009044862518089725
2020-02-25,1.0868,1.3004,0.009071940488070397
2020-02-26,1.0887,1.2921,0.009061254077564335
2020-02-27,1.0977,1.2876,0.009078529278256921
2020-02-28,1.1001,1.2778,0.00924898261191269
2020-03-02,1.1164,1.2791,0.009257544899092762
2020-03-03,1.1175,1.2827,0.009321401938851602
2020-03-04,1.113,1.2836,0.009316191540898081
2020-03-05,1.1202,1.2939,0.009384384384384385
2020-03-06,1.1319,1.301,0.009495774380400722
2020-03-09,1.142,1.31,0.009754194303550527
2020-03-10,1.1342,1.2933,0.009642271719217048
2020-03-11,1.128,1.2887,0.009541074324968991
2020-03-12,1.1081,1.2541,0.009463423866754991
2020-03-13,1.1066,1.2406,0.009332711152589827
2020-03-16,1.1139,1.2278,0.00946611132146914
2020-03-17,1.0971,1.2017,0.009310120100549298
2020-03-18,1.0833,1.176,0.009220839096357769
2020-03-19,1.0699,1.1662,0.009084302325581396
2020-03-20,1.0682,1.1743,0.008984725965858042
2020-03-23,1.076,1.1492,0.008979885057471264
2020-03-24,1.0794,1.1784,0.008973438621679828
2020-03-25,1.0835,1.1763,0.008974243919949743
2020-03-26,1.1025,1.214,0.009136592051164915
2020-03-27,1.1059,1.236,0.009245562130177515
2020-03-30,1.1018,1.2392,0.009254118082546734
