variant,series,frac,X,scenario,label,kelly_mult,leverage,leverage_min,leverage_max,n_obs,cagr,ann_vol,sharpe,sortino,max_dd,calmar,final_wealth,log_final_wealth,final_wealth_raw,worst_day,best_day,worst_month,mdd_peak,mdd_trough,mdd_recovery,mdd_recovered,mdd_duration_days,mdd_recovery_days,mdd_duration_tdays,mdd_recovery_tdays,longest_underwater_days,n_dd_20,n_dd_35,n_dd_50,pct_days_below_20,q01,q05,q50,q95,q99,skew,kurt,wiped_out
cash_day,mkt,full,10,full_x10,"Full Kelly, -10 best days",1.0,2.6163616454101675,2.6163616454101675,2.6163616454101675,26233,0.121086320312119,0.44824174907399117,0.4129005262068406,0.5706915531445839,-0.9983019463697826,0.12129228111037581,90256.66010541002,11.410412669654145,90256.6601054087,-0.4559934709595332,0.22683855465706151,-0.6659872846565488,1929-09-03,1933-03-31,1955-09-06,True,9499.0,8194.0,7507,6452,9499.0,32,14,10,0.6668318530095682,-0.08061012769786792,-0.041238513997480644,0.0017698169872461004,0.039183788516611494,0.07718266853959994,-0.5906272952299998,12.840816000311047,False
walkforward,mkt,half,10,half_x10,"Half Kelly, -10 best days",0.5,0.9500131110368608,2.0881056791804988e-05,1.335852670093104,23252,0.0932422219735003,0.15865076642836046,0.42987304030173246,0.5897807077523941,-0.6683054325898096,0.1395203711155977,3005.0428823108346,8.008047117187232,2665.991452650284,-0.20833125855321755,0.10282120904822674,-0.3582100497016427,2007-10-09,2009-03-09,2013-10-28,True,2211.0,1694.0,1522,1169,2976.0,14,6,3,0.17164114914846035,-0.028425673678867697,-0.014820036824612633,0.00039887771599596077,0.014651806056927973,0.026785261054979935,-1.00215948686263,20.701763066026913,False
fixed_1936,mkt,half,10,half_x10,"Half Kelly, -10 best days",0.5,1.3081808227050837,1.3081808227050837,1.3081808227050837,23252,0.12039222315369832,0.20383280180359703,0.4954318999123938,0.6815760395438653,-0.737917675128797,0.16315129344568813,27218.21952854204,10.211641863652517,23364.74480513013,-0.2278467354797666,0.11341927732853076,-0.40357156127674365,2007-10-09,2009-03-09,2013-08-02,True,2124.0,1607.0,1462,1109,2677.0,19,9,4,0.2924049544125237,-0.03603907348470235,-0.01913025809376473,0.0009157265758935587,0.018576167682412187,0.03342640925835475,-0.7913522322917897,13.592774035430164,False
cost_futures,mkt,half,10,half_x10,"Half Kelly, -10 best days",0.5,1.3081808227050837,1.3081808227050837,1.3081808227050837,26223,0.10067674869123208,0.22417994928126622,0.40071156272189273,0.5535755901858502,-0.9377555242859821,0.10735927017640182,14418.086114624066,9.576238677663016,14365.549489292802,-0.22795169670041995,0.11341128707054532,-0.40376759478585345,1929-09-03,1932-07-08,1951-05-01,True,7910.0,6871.0,6373,5530,7910.0,18,8,4,0.4112420394310338,-0.040278670279997986,-0.02055090106592777,0.0009077363179081213,0.019614722082590817,0.038585630181954544,-0.5933384806998832,12.833132321748193,False
cost_broker,mkt,half,10,half_x10,"Half Kelly, -10 best days",0.5,1.3081808227050837,1.3081808227050837,1.3081808227050837,26223,0.09830548095198197,0.22417994928126622,0.39108953981114647,0.5400905181985011,-0.9381863759503379,0.1047824648406381,11625.254447033836,9.360935118132916,11583.84503068306,-0.22795990622228343,0.11340307754868184,-0.403873054010091,1929-09-03,1932-07-08,1951-08-06,True,8007.0,6968.0,6444,5601,8007.0,19,8,4,0.4170384776722724,-0.040286879801861464,-0.02055911058779125,0.0008995267960446411,0.01960651256072734,0.038577420660091066,-0.5933384806998832,12.833132321748193,False
cost_letf,mkt,half,10,half_x10,"Half Kelly, -10 best days",0.5,1.3081808227050837,1.3081808227050837,1.3081808227050837,26223,0.08893159174150067,0.2241830674333172,0.35284600539840494,0.48659097534475887,-0.9397611169829996,0.09463212526498845,4940.59243827599,8.505240529767834,4924.600031512057,-0.22800859856404626,0.1133746537043333,-0.40424802958430317,1929-09-03,1932-07-08,1952-12-19,True,8508.0,7469.0,6820,5977,8508.0,18,7,3,0.44182587804599016,-0.04031610514691512,-0.02058801292452735,0.0008711029516961021,0.019578088716378797,0.038549241435947505,-0.5931928241369215,12.833262455821972,False
cash_day,mkt,half,10,half_x10,"Half Kelly, -10 best days",0.5,1.3081808227050837,1.3081808227050837,1.3081808227050837,26233,0.10366736566574263,0.22411287499420365,0.4129005262068406,0.5706915531445839,-0.9372656513575339,0.110606171810085,18903.77169518507,9.847116741729979,18903.77169518521,-0.2278467354797666,0.11341927732853076,-0.40357156127674365,1929-09-03,1932-07-08,1951-01-29,True,7818.0,6779.0,6302,5457,7818.0,18,8,4,0.40330880951473336,-0.04027106384893396,-0.020538438916469816,0.0009157265758935587,0.019622712340576255,0.03859133426979997,-0.5931996977436288,12.839050616579431,False
walkforward,mkt,quarter,10,quarter_x10,"Quarter Kelly, -10 best days",0.25,0.4750065555184304,1.0440528395902494e-05,0.667926335046552,23252,0.06670244515889386,0.07933048105855985,0.42987304030173246,0.5897807077523941,-0.4006396235221984,0.16648988577935314,330.44372416623196,5.80043636995592,302.9970569950999,-0.10401562927660878,0.051560604524113374,-0.19453398788007992,2007-10-09,2009-03-09,2013-05-06,True,2036.0,1519.0,1400,1047,2971.0,5,1,0,0.03388955788749355,-0.014131748053353583,-0.0073220087762158464,0.000234895204433928,0.007388901831640847,0.01348595430747832,-0.9965060991425265,20.67638885934242,False
fixed_1936,mkt,quarter,10,quarter_x10,"Quarter Kelly, -10 best days",0.25,0.6540904113525419,0.6540904113525419,0.6540904113525419,23252,0.0821078137346148,0.1019130600463402,0.4954318999123938,0.6815760395438653,-0.4610738673028595,0.17807952165001303,1198.0742849646101,7.088470784235997,1077.6113020829134,-0.11377336773988331,0.05670963866426538,-0.22205050782129854,2007-10-09,2009-03-09,2013-02-19,True,1960.0,1443.0,1347,994,2560.0,7,2,0,0.08214347152933081,-0.01798556214513184,-0.009515129046882365,0.0005232723290820335,0.009353492882341349,0.016743406349802575,-0.794173697787764,13.592311190329784,False
cost_futures,mkt,quarter,10,quarter_x10,"Quarter Kelly, -10 best days",0.25,0.6540904113525419,0.6540904113525419,0.6540904113525419,26223,0.07398650366757743,0.11207637250718284,0.4129792954883247,0.5708003578496096,-0.7227408803528812,0.10236933550991777,1243.427393116084,7.125626872408126,1240.054474606318,-0.11377336773988331,0.05670963866426538,-0.22205050782129854,1929-09-03,1932-06-01,1946-01-28,True,5991.0,4989.0,4886,4073,5991.0,7,2,1,0.2084429699119094,-0.020058575628523034,-0.010203810417099654,0.0005232723290820335,0.00988053808801762,0.019346686186985408,-0.5981709159161375,12.826499037879987,False
