series,variant,from_id,to_id,from_frac,from_X,to_frac,to_X,dist_all,dist_risk,dist_return,diff_cagr,diff_ann_vol,diff_sharpe,diff_sortino,diff_max_dd,diff_calmar,diff_mdd_duration_days,diff_log_final_wealth,diff_worst_month
mkt,primary,full_x25,full_x10,full,25,full,10,0.5314108676245021,0.22779243398854468,0.6218880744933425,0.03041538262406694,0.0067034820305661436,0.0620158542556028,0.0931095192516691,0.0013328333932327574,0.030588262279947973,-3696.0,2.7457362983098896,0.0
mkt,primary,full_x25,half_x10,full,25,half,10,0.7171772414881898,1.133767075085154,0.41159813309584725,0.012989182470209651,-0.21746809815274484,0.0620158542556028,0.0931095192516691,0.06235692358744249,0.01989573089833975,-5377.0,1.1818442158923652,0.2624157233798051
mkt,primary,full_x25,quarter_x10,full,25,quarter,10,1.3075538251788381,2.1379548321770145,0.4502403817312803,-0.016726559618451042,-0.3295472909947675,0.0620158542556028,0.0931095192516691,0.2768942389529516,0.0116231606966304,-7204.0,-1.5428006196389203,0.44393677683525024
mkt,primary,full_x25,full_x25,full,25,full,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mkt,primary,full_x25,half_x25,full,25,half,25,0.5947517833961198,1.0884701628884832,0.047038236672406225,-0.0027523614981121297,-0.22081756361635932,0.0,0.0,0.0330060969216629,0.00025119827505953873,-3525.0,-0.25223518635534425,0.2624157233798051
mkt,primary,full_x25,quarter_x25,full,25,quarter,25,1.1320712714303929,1.9364508064469388,0.42231748388442986,-0.024588194068587643,-0.33121964754344047,0.0,0.0,0.206340729894412,-0.0073914075288474546,-4164.0,-2.2762507553261795,0.44393677683525024
mkt,primary,full_x25,full_x100,full,25,full,100,1.9486038384583617,1.3846884999349915,2.107356497420637,-0.09875145864710211,-0.015312113198067134,-0.22441913222892335,-0.3116688616782545,-0.00036319634553183544,-0.09878458371384406,22108.0,-9.474145231580811,-0.1071902671312116
mkt,primary,full_x25,half_x100,full,25,half,100,1.3486159467709047,1.037155644280735,1.5337375101045714,-0.054653169395887255,-0.2284659723539288,-0.22441913222892335,-0.3116688616782545,0.0024149116965273,-0.054585762484109124,7344.0,-5.131945282803384,0.16616843174240736
mkt,primary,full_x25,quarter_x100,full,25,quarter,100,1.4330989481458953,1.6072499848460335,1.492151724030702,-0.05070791279106547,-0.3350359593557996,-0.22441913222892335,-0.3116688616782545,0.06422957984388589,-0.04797846732464634,2366.0,-4.752519367239957,0.3813329967331933
mkt,primary,half_x25,full_x0,half,25,full,0,1.1630346571448655,1.0233372282714628,1.2223472989045019,0.06107112268945139,0.23630681468120893,0.11518468914438285,0.17935232715022897,-0.030046438764418815,0.05853156615695215,-750.0,5.452196130208193,-0.20686775360590648
mkt,primary,half_x25,half_x0,half,25,half,0,0.7048046482442376,0.3392595776606877,0.8342185598880751,0.030240684082159103,0.007740574294480995,0.11518468914438285,0.17935232715022897,0.04904414122320733,0.037820557870282934,-3798.0,2.736992233330655,0.0386292066138314
mkt,primary,half_x25,quarter_x0,half,25,quarter,0,1.1125556101788578,1.4869632207087702,0.6672808619523571,-0.006711722256818223,-0.10653607634542869,0.11518468914438285,0.17935232715022897,0.2859612672826932,0.028369203221684403,-4647.0,-0.6177688368167757,0.20381871489715864
mkt,primary,half_x25,full_x10,half,25,full,10,0.7930110538003021,1.084280683541669,0.6614380264282514,0.03316774412217907,0.22752104564692546,0.0620158542556028,0.0931095192516691,-0.03167326352843014,0.030337064004888434,-171.0,2.997971484665234,-0.2624157233798051
mkt,primary,half_x25,half_x10,half,25,half,10,0.3710268464623933,0.17564319949153165,0.43867524196552665,0.01574154396832178,0.003349465463614476,0.0620158542556028,0.0931095192516691,0.029350826665779595,0.01964453262328021,-1852.0,1.4340794022477095,0.0
mkt,primary,half_x25,quarter_x10,half,25,quarter,10,0.9032262881038883,1.2906190638393098,0.421842300581768,-0.013974198120338913,-0.10872972737840815,0.0620158542556028,0.0931095192516691,0.24388814203128872,0.011371962421570861,-3679.0,-1.290565433283576,0.1815210534554451
mkt,primary,half_x25,full_x25,half,25,full,25,0.5947517833961198,1.0884701628884832,0.047038236672406225,0.0027523614981121297,0.22081756361635932,0.0,0.0,-0.0330060969216629,-0.00025119827505953873,3525.0,0.25223518635534425,-0.2624157233798051
mkt,primary,half_x25,half_x25,half,25,half,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mkt,primary,half_x25,quarter_x25,half,25,quarter,25,0.6823315673027603,1.0059286551698456,0.37527992418123735,-0.021835832570475514,-0.11040208392708112,0.0,0.0,0.1733346329727491,-0.007642605803906993,-639.0,-2.0240155689708352,0.1815210534554451
mkt,primary,half_x25,full_x100,half,25,full,100,2.078829248207138,1.9977739076629846,2.0689952083729155,-0.09599909714898998,0.20550545041829218,-0.22441913222892335,-0.3116688616782545,-0.03336929326719473,-0.0990357819889036,25633.0,-9.221910045225467,-0.3696059905110167
mkt,primary,half_x25,half_x100,half,25,half,100,1.2519165036414779,0.726631741474788,1.5052013667566173,-0.051900807897775125,-0.007648408737569473,-0.22441913222892335,-0.3116688616782545,-0.030591185225135598,-0.05483696075916866,10869.0,-4.87971009644804,-0.09624729163739776
mkt,primary,half_x25,quarter_x100,half,25,quarter,100,1.179097213139461,0.6473580554408953,1.4650235883318012,-0.04795555129295334,-0.11421839573944029,-0.22441913222892335,-0.3116688616782545,0.03122348292222299,-0.04822966559970588,5891.0,-4.500284180884613,0.1189172733533882
mkt,primary,quarter_x25,full_x0,quarter,25,full,0,1.6466788362418148,1.8640640358768568,1.5518824567552143,0.0829069552599269,0.34670889860829,0.11518468914438285,0.17935232715022897,-0.2033810717371679,0.06617417196085915,-111.0,7.476211699179029,-0.3883888070613516
mkt,primary,quarter_x25,half_x0,quarter,25,half,0,1.0100168171100046,0.8255151529120514,1.1055669031568423,0.052076516652634616,0.11814265822156211,0.11518468914438285,0.17935232715022897,-0.12429049174954176,0.04546316367418993,-3159.0,4.76100780230149,-0.1428918468416137
mkt,primary,quarter_x25,quarter_x0,quarter,25,quarter,0,0.7063067826114869,0.5714128932943948,0.706981091299288,0.01512411031365729,0.0038660075816524253,0.11518468914438285,0.17935232715022897,0.11262663430994413,0.036011809025591396,-4008.0,1.4062467321540595,0.022297661441713523
mkt,primary,quarter_x25,full_x10,quarter,25,full,10,1.3333728544913945,1.932034116722323,1.0004505016474121,0.055003576692654585,0.3379231295740066,0.0620158542556028,0.0931095192516691,-0.20500789650117923,0.03797966980879543,468.0,5.021987053636069,-0.44393677683525024
