series,frac,X,scenario,label,kelly_mult,leverage,n_obs,cagr,ann_vol,sharpe,sortino,max_dd,calmar,final_wealth,log_final_wealth,final_wealth_raw,worst_day,best_day,worst_month,mdd_peak,mdd_trough,mdd_recovery,mdd_recovered,mdd_duration_days,mdd_recovery_days,mdd_duration_tdays,mdd_recovery_tdays,longest_underwater_days,n_dd_20,n_dd_35,n_dd_50,pct_days_below_20,q01,q05,q50,q95,q99,skew,kurt,wiped_out,d_cagr,pct_cagr,d_ann_vol,pct_ann_vol,d_sharpe,pct_sharpe,d_sortino,pct_sortino,d_max_dd,pct_max_dd,d_calmar,pct_calmar,d_final_wealth,pct_final_wealth,d_worst_day,pct_worst_day,d_worst_month,pct_worst_month,d_mdd_duration_days,pct_mdd_duration_days,d_mdd_recovery_days,pct_mdd_recovery_days,d_longest_underwater_days,pct_longest_underwater_days,d_pct_days_below_20,pct_pct_days_below_20
mkt,quarter,25,quarter_x25,"Quarter Kelly, -25 best days",0.25,0.6540904113525419,26208,0.06612486921744083,0.11040401595850988,0.3509634412327219,0.4776908385979405,-0.7932943894114208,0.08335476728443991,597.155015248887,6.392176736720867,593.5283641500879,-0.11377336773988331,0.04447814797197285,-0.22205050782129854,1929-09-03,1933-03-31,1954-05-26,True,9031.0,7726.0,7167,6123,9031.0,7,2,1,0.29174297924297926,-0.020073575628523035,-0.010203810417099654,0.0005232723290820335,0.009815129046882365,0.018899162457932207,-0.8446581195818518,12.075043917509248,False,-0.0829069552599269,-0.5563036992311485,-0.34670889860829,-0.7584753953776643,-0.11518468914438285,-0.24709889762123616,-0.17935232715022897,-0.27296886490859695,0.2033810717371679,-0.20405947539110425,-0.06617417196085915,-0.4425509355904801,-1053703.7288415483,-0.999433600953587,0.3422201032196499,-0.7504934281175705,0.3883888070613516,-0.636244746352903,111.0,0.012443946188340771,-155.0,-0.019667554878822435,111.0,0.012443946188340771,-0.32789640626382516,-0.5291729575834466
mkt,unlev,25,unlev_x25,"Unlevered 1.00x, -25 best days",,1.0,26208,0.07929039648719821,0.16878766865564576,0.350963441232722,0.4776908385979406,-0.9192167762494251,0.08625864816209919,2033.3219653879441,7.617426170684845,2018.6147297129976,-0.1741,0.068,-0.3227558174124975,1929-09-03,1933-03-31,1955-02-10,True,9291.0,7986.0,7347,6303,9291.0,16,7,2,0.39285714285714285,-0.0307,-0.015700000000000002,0.0007000000000000001,0.015,0.028893000000000026,-0.8413686550403947,12.078217108409481,False,-0.06974142799016952,-0.46796332417416386,-0.28832524591115416,-0.6307527893505182,-0.11518468914438273,-0.24709889762123594,-0.17935232715022886,-0.27296886490859684,0.07745868489916363,-0.07771705827882902,-0.06327029108319987,-0.4231307424672244,-1052267.561891409,-0.9980714025791673,0.2818934709595332,-0.618196287693228,0.28768349747015265,-0.47127288570110604,371.0,0.04159192825112101,105.0,0.013323182337266815,371.0,0.04159192825112101,-0.22678224264966157,-0.36599068418508596
mkt,full,100,full_x100,"Full Kelly, -100 best days",1.0,2.6163616454101675,26133,-0.00803839536107363,0.4263115503038832,0.12654430900379854,0.16602197691968595,-0.9999983156513647,-0.008038408900556692,0.44676714901052983,-0.8057177395337651,0.448141454599602,-0.4559934709595332,0.10910228061360398,-0.7731775517877604,1929-09-03,1942-04-28,,False,35303.0,30683.0,25187,21467,35303.0,4,1,1,0.963226571767497,-0.08081357484317417,-0.04126316846329704,0.0016698169872461004,0.03803724385844743,0.06828703894520537,-1.2931494376590298,12.152934979578514,False,-0.15707021983844136,-1.053937441813271,-0.03080136426291674,-0.0673823978307565,-0.3396038213733062,-0.7285319820945615,-0.4910211888284835,-0.7473195284960644,-0.003322854502775918,0.0033339383102164444,-0.15756734814585574,-1.0537582152399934,-1054300.437089648,-0.9999995762432188,0.0,0.0,-0.16273823690511025,0.26659199847964365,26383.0,2.9577354260089685,22802.0,2.893287653851034,26383.0,2.9577354260089685,0.3435871862606926,0.5544953957045062
mkt,half,100,half_x100,"Half Kelly, -100 best days",0.5,1.3081808227050837,26133,0.03605989389014122,0.21315769114802152,0.12654430900379854,0.16602197691968595,-0.9972202076093055,0.03616041232917824,34.345884792787174,3.5364822092436614,33.885973424879595,-0.2278467354797666,0.05455114030680199,-0.4998188529141414,1929-09-03,1942-04-28,1985-11-27,True,20539.0,15919.0,15042,11322,20539.0,4,3,3,0.824819194122374,-0.04033861260536287,-0.020569256998740324,0.0009157265758935587,0.01909944001149422,0.03414351947260268,-1.2952231429145555,12.154173171089695,False,-0.11297193058722652,-0.7580389690819538,-0.2439552234187784,-0.5336870073994118,-0.3396038213733062,-0.7285319820945615,-0.4910211888284835,-0.7473195284960644,-0.0005447464607167829,0.0005465635324151119,-0.11336852691612082,-0.758171143915775,-1054266.5379720044,-0.9999674230712327,0.22814673547976658,-0.5003289520783802,0.11062046196850872,-0.18121451104402442,11619.0,1.3025784753363228,8038.0,1.0199213297804848,11619.0,1.3025784753363228,0.20517980861556961,0.3311277711111804
mkt,quarter,100,quarter_x100,"Quarter Kelly, -100 best days",0.25,0.6540904113525419,26133,0.040005150494963004,0.10658770414615071,0.12654430900379854,0.16602197691968595,-0.9354055394619469,0.042767707488641026,50.19463381192508,3.9159081248070886,49.45092245999738,-0.11377336773988331,0.02731393398885998,-0.28465428792335545,1929-09-03,1942-04-28,1972-04-11,True,15561.0,10941.0,11599,7879,15561.0,6,4,2,0.543144682967895,-0.02010153192446698,-0.010234628499370162,0.0005232723290820335,0.009615129046882364,0.01707175973630134,-1.2991207617612062,12.153488851183003,False,-0.10902667398240473,-0.7315663910359075,-0.3505252104206492,-0.7668241243038112,-0.3396038213733062,-0.7285319820945615,-0.4910211888284835,-0.7473195284960644,0.061269921686641804,-0.061474295369962406,-0.10676123175665803,-0.7139837431837759,-1054250.6892229852,-0.9999523905987555,0.3422201032196499,-0.7504934281175705,0.3257850269592947,-0.5336894577668594,6641.0,0.744506726457399,3060.0,0.38827559954320523,6641.0,0.744506726457399,-0.07649470253890944,-0.12345035568767837
mkt,unlev,100,unlev_x100,"Unlevered 1.00x, -100 best days",,1.0,26133,0.03943106508314389,0.16294473518551317,0.1265443090037985,0.16602197691968593,-0.9871973468021961,0.039942434216291164,47.50269106158097,3.8607863633638337,46.80869960258727,-0.1741,0.0417,-0.4063148592405069,1929-09-03,1942-04-28,1980-11-13,True,18699.0,14079.0,13768,10048,18699.0,7,3,2,0.7374583859488004,-0.030768,-0.015700000000000002,0.0007000000000000001,0.0146,0.026099999999999998,-1.2964600524237957,12.154411533515862,False,-0.10960075939422384,-0.7354184905041408,-0.29416817938128675,-0.6435350435462235,-0.33960382137330625,-0.7285319820945616,-0.49102118882848356,-0.7473195284960645,0.009478114346392674,-0.009509729812621104,-0.1095865050290079,-0.7328782346889624,-1054253.3811657357,-0.9999549438952495,0.2818934709595332,-0.618196287693228,0.2041244556421432,-0.33438943178386826,9779.0,1.0963004484304935,6198.0,0.7864484202512372,9779.0,1.0963004484304935,0.117819000441996,0.19014123891694124
scv,full,0,full_x0,"Full Kelly, original",1.0,2.78009325764397,26233,0.23037185788218614,0.5842328561922139,0.5956293781096133,0.8471708592905232,-0.9992356515754022,0.23054807694159052,973543849.24462,20.6964534246431,973543849.2446172,-0.44537093987456405,0.74228489979094,-0.72298508116512,1929-02-05,1932-05-31,1950-12-27,True,7995.0,6784.0,6445,5461,7995.0,42,20,14,0.6221553005756109,-0.10665558109352846,-0.051053715940649044,0.0027020839318795736,0.04906964133453366,0.10397548783588449,0.2718084647011923,24.821696170766582,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scv,half,0,half_x0,"Half Kelly, original",0.5,1.390046628821985,26233,0.17665601313258292,0.292103996474128,0.5956293781096133,0.8471708592905232,-0.9588493844300482,0.18423749965443156,11296901.158790214,16.24003901233824,11296901.158789927,-0.22268546993728203,0.37114244989547,-0.45870460322554873,1929-02-05,1932-05-31,1937-01-08,True,2894.0,1683.0,2355,1371,2894.0,25,12,6,0.3542103457477223,-0.05327779054676423,-0.025453455172595202,0.0014510419659397868,0.024603825330149137,0.052029220747182366,0.26660302339737063,24.818289319426615,False,-0.053715844749603225,-0.23317016776013455,-0.2921288597180859,-0.500021278539622,0.0,0.0,0.0,0.0,0.04038626714535398,-0.0404171599378792,-0.046310577287158955,-0.20087167024555908,-962246948.0858297,-0.9883961044306782,0.22268546993728203,-0.5,0.2642804779395712,-0.36554070730432286,-5101.0,-0.6380237648530331,-5101.0,-0.7519162735849056,-5101.0,-0.6380237648530331,-0.26794495482788855,-0.43067214018748856
scv,quarter,0,quarter_x0,"Quarter Kelly, original",0.25,0.6950233144109925,26233,0.11372951802957862,0.14604462824446368,0.5956293781096133,0.8471708592905232,-0.7699131429018381,0.14771733549180213,46776.994935606526,10.75314679984494,46776.99493560977,-0.11134273496864101,0.185571224947735,-0.2592060313524748,1929-02-05,1932-05-31,1936-01-23,True,2543.0,1332.0,2067,1083,2543.0,12,4,3,0.1616284832081729,-0.026619392941941013,-0.01265793131660336,0.0007950233144109925,0.01236290800219237,0.026050892798289926,0.2561598111908423,24.80798379467382,False,-0.11664233985260752,-0.5063220001127884,-0.4381882279477502,-0.7500232540902926,0.0,0.0,0.0,0.0,0.22932250867356407,-0.2294979250510253,-0.08283074144978839,-0.35927752054411455,-973497072.2496843,-0.999951951835583,0.33402820490592305,-0.75,0.46377904981264517,-0.6414780358472215,-5452.0,-0.6819262038774234,-5452.0,-0.8036556603773585,-5452.0,-0.6819262038774234,-0.46052681736743795,-0.7402119968139207
scv,unlev,0,unlev_x0,"Unlevered 1.00x, original",,1.0,26233,0.1439311681031498,0.2101344195421973,0.5956293781096134,0.8471708592905233,-0.8895053111818321,0.16181035266885269,676201.4897934666,13.424246372438146,676201.4897934415,-0.1602,0.267,-0.3533865159247134,1929-02-05,1932-05-31,1936-10-02,True,2796.0,1585.0,2278,1294,2796.0,20,8,4,0.25681393664468416,-0.0383,-0.0183,0.0011,0.0177,0.03746800000000003,0.26253458860306217,24.814823403682386,False,-0.08644068977903635,-0.37522243634134667,-0.3740984366500166,-0.6403242006761383,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,0.1097303403935701,-0.10981427676301225,-0.06873772427273783,-0.29814919813949514,-972867647.7548265,-0.999305422667589,0.28517093987456404,-0.640299836255326,0.3695985652404066,-0.5112118837151984,-5199.0,-0.650281425891182,-5199.0,-0.7663620283018868,-5199.0,-0.650281425891182,-0.3653413639309267,-0.5872189204092887
