series,X,scheme,regime,frac,level,f_used,f_base,f_stressed,cagr_median,cagr_mean,cagr_p1,cagr_p5,cagr_p25,cagr_p75,cagr_p95,ann_vol_median,mdd_median,mdd_p5,mdd_mean,tw_median,tw_p1,tw_p5,tw_p25,tw_p75,tw_p95,tw_mean,p_lose_money,p_below_tbills,p_dd_50,p_dd_90,p_ruin_99
mkt,50,block20,full,1.0,full_1.00,2.6163616454101675,2.6163616454101675,1.5647665966724562,0.05390286399372246,0.05711162879460843,-0.19236846201963267,-0.12835783336845155,-0.022372717056039493,0.1328872945818914,0.2529114921847053,0.43306128601124105,-0.9273302451411545,-0.9957780344515245,-0.9053636788511423,3.7154774663936925,0.004789959503014257,0.032244517395533766,0.5679797186670855,22.629119509711145,280.5497083743656,90.7534746845269,0.3177,0.42475,0.9999,0.6156,0.0196
mkt,50,block20,full,1.25,full_1.25,3.2704520567627093,2.6163616454101675,1.5647665966724562,0.026999642999165796,0.03272096365711312,-0.268899957401285,-0.19371612891247317,-0.06667672550012843,0.1253411506310746,0.27852871233228527,0.5413269019071567,-0.9731802235446763,-0.9994976341201522,-0.9520201863567749,1.946513035685882,0.00039757634337656304,0.0045940880672425115,0.1781568002820603,19.14718882136949,465.3312577290924,257.6500570409631,0.42605,0.513,1.0,0.847,0.0741
mkt,50,block20,full,1.5,full_1.50,3.924542468115251,2.6163616454101675,1.5647665966724562,-0.013082561190229769,-0.0037170472217240656,-0.34955827566419057,-0.2664467481662915,-0.12162644740081982,0.10353470967127926,0.2895287347754555,0.6495935444046703,-0.9918637548112335,-0.9999583004687984,-0.9762843995037384,0.7194830699079588,2.1389964389186277e-05,0.0004323059402389811,0.039082404628901,11.739509250037727,576.4685559800694,678.6631099165323,0.5296,0.6047,1.0,0.94825,0.16445
mkt,50,block20,stressed,0.25,stressed_0.25,0.39119164916811405,2.6163616454101675,1.5647665966724562,0.04798884712145646,0.04772018570937446,0.008983609851517797,0.02004537616331199,0.036701583490336864,0.058897617833594984,0.07450549520683629,0.06476499233805061,-0.2174121561534394,-0.36234411035434283,-0.2284846674126693,3.227873607580964,1.2505549743365936,1.6424315866849344,2.46231747546749,4.18166543010274,6.028593829249158,3.4490743812262052,0.00235,0.16745,0.0024,0.0,0.0
mkt,50,block20,stressed,0.5,stressed_0.50,0.7823832983362281,2.6163616454101675,1.5647665966724562,0.05977404492451155,0.05948680549713365,-0.017765746734303308,0.0036774059263980706,0.03709300654865322,0.08201008903097917,0.1142792310883836,0.1295040629857489,-0.4338760337177626,-0.6665021282439562,-0.44800444287788743,4.2690571969845,0.6388176173153044,1.096108878002472,2.4856652578815583,7.174353266331615,14.957220492170313,5.656854261369535,0.0388,0.2039,0.3061,0.00015,0.0
mkt,50,block20,stressed,0.75,stressed_0.75,1.1735749475043422,2.6163616454101675,1.5647665966724562,0.06711505741504387,0.06706577040305357,-0.04842241618724703,-0.01709634491634222,0.032822875539008256,0.10119393217668082,0.15118156447802028,0.1942491083037774,-0.6078181637030737,-0.8430210259354773,-0.613478885302728,5.073190850204913,0.28913793412680844,0.649791094736378,2.242054795886751,11.132565057094322,33.77502274004615,9.669916313609358,0.09355,0.2437,0.7854,0.01515,0.0
mkt,50,block20,stressed,1.0,stressed_1.00,1.5647665966724562,2.6163616454101675,1.5647665966724562,0.06984185281730215,0.07032399407524531,-0.08292543224030095,-0.04198833215378212,0.023899671207955553,0.11609578850770375,0.18395207983696454,0.2589988714600325,-0.738189549809031,-0.9336378030624831,-0.7326980262122859,5.407413915404549,0.11484611308237296,0.3421921198713612,1.8048249731692325,15.578898102812182,68.13231641197267,17.162246484523273,0.1517,0.2895,0.95975,0.1034,0.00015
mkt,50,block20,stressed,1.25,stressed_1.25,1.9559582458405702,2.6163616454101675,1.5647665966724562,0.06790614914445092,0.06917155289923159,-0.12059139104936828,-0.0710550336845833,0.01045203623305524,0.12639157433577852,0.2133672745154351,0.3237505896884487,-0.8311258092001902,-0.9741411046160564,-0.8169548877804105,5.168055669469565,0.04025018615607319,0.15839798252410597,1.2968584906716625,19.59904137678428,125.8365890197252,31.414910654587565,0.21165,0.3374,0.99425,0.2774,0.00185
mkt,50,block20,stressed,1.5,stressed_1.50,2.3471498950086844,2.6163616454101675,1.5647665966724562,0.06113849508535574,0.0635630963773772,-0.16251031534106505,-0.10373996987581173,-0.007556115710990435,0.13189691381217866,0.23843308059278487,0.3885019455868891,-0.895545224373891,-0.9908531003324632,-0.8757643888350632,4.408610645501124,0.011870984377257554,0.06469202178865899,0.8272733545452072,22.139708329324584,209.80393499835012,58.7083751740966,0.27325,0.38835,0.99945,0.48275,0.00855
mkt,50,block20,fixed,,fixed_1.0x,1.0,2.6163616454101675,1.5647665966724562,0.06444126362685354,0.06422923058951496,-0.034381253757811724,-0.007322277559047635,0.035250906265951565,0.09318157726357285,0.1352769262460495,0.16551992677958785,-0.5360873164452251,-0.7773002670553121,-0.5464466788698957,4.76477665980166,0.41700591132091447,0.8321601028307699,2.3776092721072057,9.27486516180758,23.853124776822956,7.585291564931805,0.0689,0.22485,0.60495,0.00335,0.0
