series,X,financing,f,f_kelly_analytic,cagr_median,cagr_p5,cagr_p25,mean_log_growth,mdd_median,p_dd_50,p_dd_90,p_loss,tw_median
mkt,0,letf,2.5,2.1718019031758886,0.11505831739422812,-0.0508946712155536,0.04654663667387693,0.10754378898823141,-0.8565149870411916,0.9996,0.336,0.1262,15.220877931538421
mkt,0,letf,2.6,2.1718019031758886,0.1136820769896606,-0.05814517532483914,0.04239811499145174,0.10630674471820332,-0.8710910107099148,0.9996,0.3824,0.1368,14.758110838324082
mkt,0,letf,2.7,2.1718019031758886,0.1120106576647365,-0.06541015181907495,0.03835220258139216,0.10474416731667117,-0.8846808583833381,0.9998,0.4348,0.153,14.21425046642111
mkt,0,letf,2.8,2.1718019031758886,0.11016958529787013,-0.07338198757041516,0.03363790871851091,0.10285874080407789,-0.8970464972018357,0.9998,0.4888,0.1662,13.637462428552446
mkt,0,letf,2.9,2.1718019031758886,0.10800915118437915,-0.08197091203859555,0.02845637404737905,0.1006438067347632,-0.908604920394324,1.0,0.5364,0.1782,12.989238389658382
mkt,0,letf,3.0,2.1718019031758886,0.10534133487209651,-0.09029520907105867,0.02320771269902655,0.09809943284378657,-0.9189585009384079,1.0,0.588,0.1928,12.229570112119994
mkt,0,letf,3.1,2.1718019031758886,0.10233579338463838,-0.09978035151924407,0.01747749771708601,0.09522587476402611,-0.9288538703010975,1.0,0.6346,0.2068,11.424837045432213
mkt,0,letf,3.2,2.1718019031758886,0.09900243477700665,-0.10851619328303064,0.011326436987087463,0.09201836971869165,-0.9375724920921056,1.0,0.6772,0.2206,10.591746384858611
mkt,0,letf,3.3,2.1718019031758886,0.09547740777853264,-0.1181248533599067,0.00494914050532641,0.08847535418269334,-0.9453037205282115,1.0,0.7182,0.2378,9.774308209239758
mkt,0,letf,3.4,2.1718019031758886,0.09125687917809677,-0.12837171347353288,-0.0015774431304937109,0.08459343922139353,-0.9524721176292885,1.0,0.7574,0.2536,8.875133047559327
mkt,0,letf,3.5,2.1718019031758886,0.086622474887328,-0.13772734983608026,-0.008632166254757379,0.08036783692322891,-0.9584904131425891,1.0,0.7848,0.269,7.979345404103859
mkt,0,letf,3.6,2.1718019031758886,0.08167333136064414,-0.1478588754912265,-0.015965944807496274,0.0758026154513251,-0.9641575766590829,1.0,0.8126,0.2816,7.118738889635658
mkt,0,letf,3.7,2.1718019031758886,0.07638743999487696,-0.15837469167488227,-0.02343523890798599,0.0708859304270276,-0.9691063504151994,1.0,0.8418,0.2982,6.29818729062535
mkt,0,letf,3.8,2.1718019031758886,0.0708120302571329,-0.16962070648745672,-0.03150903995837931,0.06562066003844685,-0.9735766517721809,1.0,0.8668,0.316,5.531351381549154
mkt,0,letf,3.9,2.1718019031758886,0.0651266595633172,-0.17999185162369769,-0.03916197511194655,0.059997492924413816,-0.9774712115070916,1.0,0.8904,0.3372,4.842078128373788
mkt,0,letf,4.0,2.1718019031758886,0.059213630634431746,-0.19046673362869931,-0.04742298905101949,0.05401080357898928,-0.9807778215853268,1.0,0.9102,0.3538,4.212976375286669
mkt,20,broker,0.1,1.6025575085884953,0.03823801127249038,0.03118556587758945,0.035309928777506494,0.03747675222074399,-0.04160214792220551,0.0,0.0,0.0,2.5551895608290307
mkt,20,broker,0.2,1.6025575085884953,0.04431587492256428,0.03085355812963122,0.03880373196350456,0.043290796498899595,-0.09218204156786647,0.0,0.0,0.0,2.9566301209127768
mkt,20,broker,0.3,1.6025575085884953,0.05008162398831961,0.030197152603680822,0.04201969260777183,0.04881670099661396,-0.1476641688518739,0.0,0.0,0.0,3.392942222721685
mkt,20,broker,0.4,1.6025575085884953,0.055715447558191356,0.029125903262585084,0.04479445719511266,0.05405323610960479,-0.20211533148507305,0.0,0.0,0.0,3.8785724506832224
mkt,20,broker,0.5,1.6025575085884953,0.060935936323420536,0.027817669193286133,0.047207672887781105,0.05899996060301332,-0.2559438176383427,0.0066,0.0,0.0014,4.387619977021445
mkt,20,broker,0.6,1.6025575085884953,0.06601133296679706,0.026013107379175383,0.04933617092927123,0.06365696947793087,-0.3078040469573166,0.0388,0.0,0.0038,4.943625432043403
mkt,20,broker,0.7,1.6025575085884953,0.07066845280271139,0.0239619487385757,0.05111609190565375,0.06802294098236217,-0.35815521503239856,0.1054,0.0,0.0076,5.512837760968984
mkt,20,broker,0.8,1.6025575085884953,0.0750658937245654,0.021704129258690818,0.0525865569671789,0.07209781666679765,-0.4057057967521714,0.2146,0.0,0.0108,6.107695950356547
mkt,20,broker,0.9,1.6025575085884953,0.07920463035513914,0.01898951682480542,0.053693911717169196,0.07588087907671544,-0.45080620444452346,0.3456,0.0,0.0154,6.723493716178749
mkt,20,broker,1.0,1.6025575085884953,0.08304690162591788,0.01584543404432789,0.05450472376287785,0.07937060413823337,-0.49382115742808075,0.4818,0.0,0.0202,7.348210901099683
mkt,20,broker,1.1,1.6025575085884953,0.08482622728845601,0.010976266110482812,0.053437779017199705,0.08097713109022515,-0.5367557992548277,0.618,0.0008,0.0294,7.656044352152587
mkt,20,broker,1.2,1.6025575085884953,0.08626974474052174,0.005641924372572627,0.05195605270190973,0.08228845686741966,-0.5779134742094074,0.7302,0.0044,0.0394,7.9148396567486
mkt,20,broker,1.3,1.6025575085884953,0.08753452736540457,-4.516261081715579e-05,0.050215867625377775,0.08330361673605602,-0.6157158520756209,0.8154,0.0118,0.0504,8.1484754811406
mkt,20,broker,1.4,1.6025575085884953,0.08825435502186607,-0.005820011027370723,0.04813281726913782,0.08402411852860682,-0.6511556620251668,0.885,0.0244,0.0646,8.284387363521361
mkt,20,broker,1.5,1.6025575085884953,0.08861698254309291,-0.01200369130158332,0.04575756916373713,0.08444712157698002,-0.6842396102533408,0.9286,0.038,0.0772,8.353675997722764
mkt,20,broker,1.6,1.6025575085884953,0.08870162853249852,-0.01837090984958954,0.04296819238533328,0.08456703362603253,-0.715082545187044,0.9564,0.0618,0.0912,8.369929815305047
mkt,20,broker,1.7,1.6025575085884953,0.08858927055148091,-0.02506336873713758,0.04006323731488226,0.08439301675715044,-0.7431596385167645,0.9748,0.0882,0.1068,8.348362113420798
mkt,20,broker,1.8,1.6025575085884953,0.08820255359464757,-0.03214432463938462,0.036905327549920486,0.08391748426323632,-0.7693320047966286,0.9854,0.1236,0.121,8.274533573651272
mkt,20,broker,1.9,1.6025575085884953,0.08736471738956686,-0.03940541581804128,0.03335564298664384,0.083142353909204,-0.7939626093034172,0.9926,0.1676,0.1362,8.11672690311594
mkt,20,broker,2.0,1.6025575085884953,0.08625937229912162,-0.047100510417312585,0.02919799489134972,0.08206298895476022,-0.8157902929728277,0.9954,0.2166,0.1514,7.912950330895399
mkt,20,broker,2.1,1.6025575085884953,0.08476104467038648,-0.05476938326776615,0.024897197088684375,0.08068089935207108,-0.8358814333416357,0.9976,0.2732,0.1666,7.6445520238213565
