date,series,nav_full_x0,dd_full_x0,nav_half_x0,dd_half_x0,nav_quarter_x0,dd_quarter_x0,nav_full_x10,dd_full_x10,nav_half_x10,dd_half_x10,nav_quarter_x10,dd_quarter_x10,nav_full_x25,dd_full_x25,nav_half_x25,dd_half_x25,nav_quarter_x25,dd_quarter_x25,nav_full_x100,dd_full_x100,nav_half_x100,dd_half_x100,nav_quarter_x100,dd_quarter_x100,wf_f_x0,wf_f_x10,wf_f_x25,wf_f_x100
1975-04-30,scv,3149.53,-0.793201,1189.72,-0.387471,107.519,-0.115164,129.198,-0.793201,206.532,-0.387471,42.7269,-0.115164,24.2051,-0.793201,85.5647,-0.387471,27.1695,-0.115164,0.0171316,-0.997665,1.96323,-0.431154,3.95254,-0.115164,2.33925,1.94715,1.71432,0.575095
1975-05-31,scv,3759.61,-0.756526,1304.03,-0.333557,112.834,-0.0752337,154.225,-0.756526,226.376,-0.333557,44.8391,-0.0752337,28.8938,-0.756526,93.7859,-0.333557,28.5126,-0.0752337,0.02045,-0.997251,2.15186,-0.381084,4.14793,-0.0752337,2.34821,1.95688,1.72447,0.587165
1975-06-30,scv,4447.8,-0.715059,1422.66,-0.275605,118.13,-0.0323255,182.455,-0.715059,246.97,-0.275605,46.9436,-0.0323255,34.1828,-0.715059,102.318,-0.275605,29.8509,-0.0323255,0.0241934,-0.996783,2.34761,-0.327266,4.34261,-0.0323255,2.37069,1.98114,1.74955,0.616029
1975-07-31,scv,4083.64,-0.693449,1368.96,-0.244584,116.192,-0.0593341,167.517,-0.693449,237.647,-0.244584,46.1738,-0.0593341,31.3841,-0.693449,98.4554,-0.244584,29.3614,-0.0593341,0.0222126,-0.996539,2.25899,-0.298457,4.2714,-0.0593341,2.39203,2.00415,1.77329,0.64327
1975-08-31,scv,3332.97,-0.77278,1242.37,-0.347397,110.99,-0.123828,136.723,-0.77278,215.673,-0.347397,44.1064,-0.123828,25.6149,-0.77278,89.3516,-0.347397,28.0467,-0.123828,0.0181294,-0.997435,2.05011,-0.393938,4.08015,-0.123828,2.37938,1.99092,1.75989,0.629262
1975-09-30,scv,2971.32,-0.779405,1178.2,-0.354643,108.46,-0.126341,121.888,-0.779405,204.533,-0.354643,43.1011,-0.126341,22.8355,-0.779405,84.7365,-0.354643,27.4075,-0.126341,0.0161622,-0.99751,1.94422,-0.400667,3.98716,-0.126341,2.35104,1.96103,1.72934,0.596123
1975-10-31,scv,3104.1,-0.781022,1207.96,-0.355504,110.096,-0.125462,127.335,-0.781022,209.699,-0.355504,43.751,-0.125462,23.856,-0.781022,86.8765,-0.355504,27.8208,-0.125462,0.0168845,-0.997528,1.99332,-0.401466,4.04728,-0.125462,2.33456,1.94358,1.7115,0.5767
1975-11-30,scv,3413.93,-0.767038,1269.95,-0.333205,113.117,-0.10823,140.044,-0.767038,220.461,-0.333205,44.9515,-0.10823,26.2371,-0.767038,91.3351,-0.333205,28.5841,-0.10823,0.0185697,-0.99737,2.09562,-0.380757,4.15833,-0.10823,2.33949,1.94895,1.71708,0.583446
1975-12-31,scv,3294.38,-0.780072,1252.28,-0.349641,112.619,-0.116808,135.14,-0.780072,217.393,-0.349641,44.7539,-0.116808,25.3183,-0.780072,90.0642,-0.349641,28.4585,-0.116808,0.0179195,-0.997517,2.06646,-0.396022,4.14005,-0.116808,2.35131,1.96174,1.73032,0.598645
1976-01-31,scv,6015.94,-0.73603,1701.92,-0.285626,131.687,-0.0726394,246.783,-0.73603,295.449,-0.285626,52.3313,-0.0726394,46.2344,-0.73603,122.402,-0.285626,33.2768,-0.0726394,0.0327231,-0.99702,2.80844,-0.336571,4.84101,-0.0726394,2.34546,1.95567,1.72427,0.592673
1976-02-29,scv,8152.5,-0.532385,1990.36,-0.0440041,142.778,-0.0192541,334.427,-0.532385,345.521,-0.0440041,56.7388,-0.0192541,62.6545,-0.532385,143.147,-0.0440041,36.0795,-0.0192541,0.0443447,-0.994721,3.2844,-0.112181,5.24873,-0.0192541,2.42293,2.03909,1.81039,0.691608
1976-03-31,scv,8465.84,-0.368023,2035.73,-0.0363794,144.779,-0.0180752,347.281,-0.368023,353.397,-0.0363794,57.5337,-0.0180752,65.0626,-0.368023,146.409,-0.0363794,36.585,-0.0180752,0.0460491,-0.992865,3.35927,-0.0363794,5.32227,-0.0180752,2.46125,2.08044,1.85324,0.741259
1976-04-30,scv,8065.18,-0.424188,1994.13,-0.0769012,143.647,-0.036498,330.846,-0.424188,346.176,-0.0769012,57.084,-0.036498,61.9834,-0.424188,143.418,-0.0769012,36.299,-0.036498,0.0438698,-0.993499,3.29063,-0.0769012,5.28067,-0.036498,2.46501,2.08468,1.85775,0.747036
1976-05-31,scv,7235.99,-0.459473,1894.57,-0.101564,140.331,-0.0462349,296.831,-0.459473,328.893,-0.101564,55.7663,-0.0462349,55.6109,-0.459473,136.258,-0.101564,35.4611,-0.0462349,0.0393595,-0.993898,3.12635,-0.101564,5.15878,-0.0462349,2.45751,2.07689,1.84986,0.738949
1976-06-30,scv,7959.84,-0.489781,1993.22,-0.126221,144.287,-0.0586794,326.524,-0.489781,346.019,-0.126221,57.3385,-0.0586794,61.1738,-0.489781,143.353,-0.126221,36.4609,-0.0586794,0.0432968,-0.99424,3.28913,-0.126221,5.30421,-0.0586794,2.44235,2.06087,1.83345,0.721056
1976-07-31,scv,8053.41,-0.398011,2009.83,-0.0486708,145.204,-0.0163259,330.363,-0.398011,348.901,-0.0486708,57.7029,-0.0163259,61.893,-0.398011,144.547,-0.0486708,36.6926,-0.0163259,0.0438057,-0.993204,3.31653,-0.0486708,5.33792,-0.0163259,2.45394,2.07337,1.84639,0.736061
1976-08-31,scv,7673.86,-0.429618,1966.97,-0.0699244,143.978,-0.0304001,314.793,-0.429618,341.461,-0.0699244,57.2156,-0.0304001,58.976,-0.429618,141.465,-0.0699244,36.3827,-0.0304001,0.0417412,-0.993561,3.24581,-0.0699244,5.29284,-0.0304001,2.45476,2.0743,1.84741,0.737373
1976-09-30,scv,8108.39,-0.404866,2026.98,-0.0492717,146.48,-0.0190852,332.618,-0.404866,351.879,-0.0492717,58.2099,-0.0190852,62.3155,-0.404866,145.78,-0.0492717,37.015,-0.0190852,0.0441048,-0.993281,3.34484,-0.0492717,5.38482,-0.0190852,2.4477,2.06684,1.83976,0.728948
1976-10-31,scv,7569.84,-0.449013,1963.77,-0.0817874,144.502,-0.0373912,310.526,-0.449013,340.906,-0.0817874,57.4239,-0.0373912,58.1766,-0.449013,141.235,-0.0817874,36.5152,-0.0373912,0.0411754,-0.99378,3.24053,-0.0817874,5.31211,-0.0373912,2.45421,2.07383,1.847,0.737327
1976-11-30,scv,8346.82,-0.436246,2067.63,-0.0689868,148.597,-0.0288143,342.399,-0.436246,358.935,-0.0689868,59.0509,-0.0288143,64.148,-0.436246,148.704,-0.0689868,37.5498,-0.0288143,0.0454018,-0.993635,3.41192,-0.0689868,5.46262,-0.0288143,2.44442,2.06349,1.83639,0.725675
1976-12-31,scv,10833.6,-0.355281,2362.34,-0.00668617,159.211,-0.00314418,444.409,-0.355281,410.097,-0.00668617,63.2688,-0.00314418,83.2594,-0.355281,169.9,-0.00668617,40.2319,-0.00314418,0.0589282,-0.992721,3.89824,-0.00668617,5.85281,-0.00314418,2.45641,2.07638,1.84974,0.741064
1977-01-31,scv,11690.9,-0.169967,2460.41,-0.0170272,162.843,-0.00814218,479.58,-0.169967,427.12,-0.0170272,64.7124,-0.00814218,89.8486,-0.169967,176.952,-0.0170272,41.1498,-0.00814218,0.0635918,-0.990629,4.06006,-0.0170272,5.98635,-0.00814218,2.48963,2.11195,1.88641,0.78268
1977-02-28,scv,11606,-0.114064,2456.61,-0.0197954,163.035,-0.0085254,476.093,-0.114064,426.461,-0.0197954,64.7887,-0.0085254,89.1954,-0.114064,176.679,-0.0197954,41.1983,-0.0085254,0.0631295,-0.989998,4.05379,-0.0197954,5.99341,-0.0085254,2.4988,2.12183,1.89662,0.794429
1977-03-31,scv,11566.6,-0.117066,2458.73,-0.0306547,163.492,-0.0145268,474.48,-0.117066,426.829,-0.0306547,64.9701,-0.0145268,88.8932,-0.117066,176.832,-0.0306547,41.3137,-0.0145268,0.0629156,-0.990032,4.05729,-0.0306547,6.01019,-0.0145268,2.49727,2.12026,1.89502,0.792704
1977-04-30,scv,12249,-0.13018,2536.72,-0.037525,166.421,-0.0177137,502.473,-0.13018,440.369,-0.037525,66.134,-0.0177137,94.1376,-0.13018,182.441,-0.037525,42.0538,-0.0177137,0.0666274,-0.99018,4.18599,-0.037525,6.11786,-0.0177137,2.49613,2.11904,1.89379,0.791489
1977-05-31,scv,12349.7,-0.0894566,2553.49,-0.0448946,167.337,-0.0219667,506.604,-0.0894566,443.279,-0.0448946,66.4982,-0.0219667,94.9115,-0.0894566,183.647,-0.0448946,42.2854,-0.0219667,0.0671751,-0.989357,4.21366,-0.0448946,6.15155,-0.0219667,2.50284,2.12632,1.90131,0.800229
1977-06-30,scv,14731.2,-0.0773769,2795.84,-0.0384637,175.497,-0.0185763,604.295,-0.0773769,485.351,-0.0384637,69.741,-0.0185763,113.214,-0.0773769,201.077,-0.0384637,44.3474,-0.0185763,0.0801289,-0.989216,4.61358,-0.0384637,6.45153,-0.0185763,2.5032,2.12674,1.90179,0.801009
1977-07-31,scv,14802,-0.0741632,2808.94,-0.0370554,176.259,-0.018147,607.198,-0.0741632,487.626,-0.0370554,70.0437,-0.018147,113.758,-0.0741632,202.019,-0.0370554,44.54,-0.018147,0.0805138,-0.987244,4.6352,-0.0370554,6.47954,-0.018147,2.52546,2.15058,1.92634,0.828737
1977-08-31,scv,14069.1,-0.119999,2745.26,-0.0588875,174.657,-0.0270688,577.137,-0.119999,476.57,-0.0588875,69.4073,-0.0270688,108.126,-0.119999,197.439,-0.0588875,44.1352,-0.0270688,0.0765278,-0.987875,4.53011,-0.0588875,6.42066,-0.0270688,2.52541,2.15058,1.92639,0.829024
1977-09-30,scv,14322.4,-0.128607,2776.24,-0.0619553,176.018,-0.0271614,587.527,-0.128607,481.949,-0.0619553,69.9481,-0.0271614,110.072,-0.128607,199.668,-0.0619553,44.4792,-0.0271614,0.0779054,-0.987994,4.58124,-0.0619553,6.47069,-0.0271614,2.51813,2.14286,1.91845,0.82014
1977-10-31,scv,13456.9,-0.189993,2697.91,-0.0931136,173.901,-0.0411469,552.02,-0.189993,468.35,-0.0931136,69.1068,-0.0411469,103.42,-0.189993,194.034,-0.0931136,43.9442,-0.0411469,0.0731973,-0.98884,4.45197,-0.0931136,6.39286,-0.0411469,2.51985,2.1447,1.92037,0.822375
1977-11-30,scv,16545.2,-0.177973,3000.04,-0.0857775,183.8,-0.0366766,678.707,-0.177973,520.799,-0.0857775,73.0405,-0.0366766,127.155,-0.177973,215.763,-0.0857775,46.4456,-0.0366766,0.0899958,-0.988674,4.95053,-0.0857775,6.75676,-0.0366766,2.51097,2.13531,1.91075,0.811812
1977-12-31,scv,17149.8,-0.044666,3062.06,-0.0211388,186.1,-0.00994824,703.509,-0.044666,531.565,-0.0211388,73.9545,-0.00994824,131.801,-0.044666,220.223,-0.0211388,47.0268,-0.00994824,0.0932845,-0.986053,5.05288,-0.0211388,6.84131,-0.00994824,2.537,2.16318,1.93948,0.844562
