series,X,f,f_kelly_analytic,cagr_median,cagr_p5,cagr_p25,mean_log_growth,mdd_median,p_dd_50,p_dd_90,p_loss,tw_median
mkt,10,1.3,2.3515828464936184,0.1033369398313213,0.015963211597808016,0.06760870205407404,0.0986318215738644,-0.5831488809072516,0.7594,0.005,0.0262,11.687026257010473
mkt,10,1.4,2.3515828464936184,0.1069296853904963,0.01250696072260189,0.06810875721891879,0.10171933749251683,-0.61753663282196,0.8368,0.0132,0.0312,12.676593167462553
mkt,10,1.5,2.3515828464936184,0.1099156410766231,0.008629362907166628,0.06824154367948809,0.10450614266583033,-0.6488579313078089,0.8896,0.0222,0.0354,13.55972540418702
mkt,10,1.6,2.3515828464936184,0.11263377855057433,0.004612140970096116,0.06793729548488098,0.1069909547325867,-0.6784872870551325,0.928,0.0352,0.0418,14.414713496644858
mkt,10,1.7,2.3515828464936184,0.11505215124861412,0.00020306491810554675,0.06749671988513523,0.10917293556869803,-0.7053636904290262,0.9534,0.057,0.0498,15.218768357846137
mkt,10,1.8,2.3515828464936184,0.11725700419675711,-0.004562408540704392,0.06683928448697896,0.11105131598095598,-0.7307113668658829,0.9714,0.0818,0.0582,15.989227904392942
mkt,10,1.9,2.3515828464936184,0.11892867855225253,-0.009375937473393353,0.06553779812059557,0.11262478457179202,-0.7542426027865632,0.9828,0.1128,0.0654,16.598167051341484
mkt,10,2.0,2.3515828464936184,0.12054916816555805,-0.01515364276405805,0.06403856885217984,0.11389156855022092,-0.7767181191932632,0.9898,0.1448,0.0742,17.209686209026465
mkt,10,2.1,2.3515828464936184,0.12176314197306115,-0.02074394183386613,0.06213864029560645,0.1148520550154871,-0.7971389309667203,0.9944,0.181,0.0814,17.681910443051947
mkt,10,2.2,2.3515828464936184,0.1226056575252521,-0.026864181070555274,0.06012734805338066,0.11550284383674998,-0.8165722393097233,0.9972,0.221,0.0928,18.016926084242858
mkt,10,2.3,2.3515828464936184,0.12316668046996182,-0.033147608324870466,0.05748635374922828,0.11584623443956682,-0.8344634096932866,0.9994,0.2666,0.1024,18.24338107520879
mkt,10,2.4,2.3515828464936184,0.1233174800431115,-0.03954492959572935,0.05423066175651531,0.11587765090847527,-0.8510259422840452,0.9998,0.3168,0.115,18.3047131310672
mkt,10,2.5,2.3515828464936184,0.1230974614102599,-0.046224582428044406,0.050886611954893524,0.11559644242374394,-0.8662042813832392,1.0,0.3676,0.1286,18.215300811037622
mkt,10,2.6,2.3515828464936184,0.12242620539425175,-0.05395930754154864,0.04716136213840483,0.11500156162990774,-0.8804274870883777,1.0,0.4206,0.139,17.945062451297446
mkt,10,2.7,2.3515828464936184,0.12143278423456938,-0.06129980968057996,0.04351876060016446,0.1140912303651732,-0.893457744318183,1.0,0.4698,0.148,17.552185715872675
mkt,10,2.8,2.3515828464936184,0.12001615709635072,-0.06900124122654212,0.039323372011268176,0.1128634018000654,-0.9049676622221748,1.0,0.5208,0.1586,17.006199003566017
mkt,10,2.9,2.3515828464936184,0.11820555682367806,-0.07700831236476281,0.034909296436511084,0.11131649265433571,-0.9158899631315032,1.0,0.5672,0.1722,16.33206855783304
mkt,10,3.0,2.3515828464936184,0.11620494287560035,-0.08503905635339906,0.030067083632009828,0.10944857350495411,-0.9253719802035288,1.0,0.6136,0.1854,15.617052620357644
mkt,10,3.1,2.3515828464936184,0.11369105196638174,-0.09335173806290524,0.02516096921836286,0.10725682601314279,-0.9340062341014592,1.0,0.6546,0.195,14.761086916284441
mkt,10,3.2,2.3515828464936184,0.11072235944804953,-0.10221410288979574,0.01936426134425534,0.10474012909815715,-0.9422663828358266,1.0,0.6962,0.2064,13.808226959107994
mkt,10,3.3,2.3515828464936184,0.10762309783595592,-0.11133278880316505,0.013059068142434849,0.10189535027202268,-0.9493912889884222,1.0,0.7376,0.2182,12.876590230156136
mkt,10,3.4,2.3515828464936184,0.10459559540964503,-0.12068247101394443,0.006835442124897728,0.09871970365892686,-0.9557027379189947,1.0,0.7716,0.23,12.024935162379744
mkt,10,3.5,2.3515828464936184,0.10065048303752033,-0.13028203892432508,0.0004371405797470307,0.09521031046403007,-0.9613837039639748,1.0,0.798,0.2478,10.996029810310855
mkt,10,3.6,2.3515828464936184,0.09673378882287098,-0.14010268911980475,-0.006126657000266794,0.09136493357094358,-0.9661310734971076,1.0,0.8272,0.2648,10.058447065007698
mkt,10,3.7,2.3515828464936184,0.09240792663908814,-0.14971943978996138,-0.012930859142695844,0.08717903155899787,-0.9709080224959206,1.0,0.8482,0.2772,9.11215438499033
mkt,10,3.8,2.3515828464936184,0.08759061793708212,-0.15952218401603455,-0.020152730495564736,0.08264934104222615,-0.9750131920761204,1.0,0.874,0.2928,8.158994829874725
mkt,10,3.9,2.3515828464936184,0.08253941377342677,-0.1695258624257986,-0.027824215707149214,0.07777166687021948,-0.9785467037325469,1.0,0.8944,0.3098,7.262614094440767
mkt,10,4.0,2.3515828464936184,0.07693578399628931,-0.18045537292292685,-0.03548752904895447,0.07254088270926463,-0.9816652979276628,1.0,0.9104,0.3278,6.3788915485589595
mkt,20,0.1,2.1307090408990366,0.03823801127249038,0.03118556587758945,0.035309928777506494,0.03747675222074399,-0.04160214792220551,0.0,0.0,0.0,2.5551895608290307
mkt,20,0.2,2.1307090408990366,0.04431587492256428,0.03085355812963122,0.03880373196350456,0.043290796498899595,-0.09218204156786647,0.0,0.0,0.0,2.9566301209127768
mkt,20,0.3,2.1307090408990366,0.05008162398831961,0.030197152603680822,0.04201969260777183,0.04881670099661396,-0.1476641688518739,0.0,0.0,0.0,3.392942222721685
mkt,20,0.4,2.1307090408990366,0.055715447558191356,0.029125903262585084,0.04479445719511266,0.05405323610960479,-0.20211533148507305,0.0,0.0,0.0,3.8785724506832224
mkt,20,0.5,2.1307090408990366,0.060935936323420536,0.027817669193286133,0.047207672887781105,0.05899996060301332,-0.2559438176383427,0.0066,0.0,0.0014,4.387619977021445
mkt,20,0.6,2.1307090408990366,0.06601133296679706,0.026013107379175383,0.04933617092927123,0.06365696947793087,-0.3078040469573166,0.0388,0.0,0.0038,4.943625432043403
mkt,20,0.7,2.1307090408990366,0.07066845280271139,0.0239619487385757,0.05111609190565375,0.06802294098236217,-0.35815521503239856,0.1054,0.0,0.0076,5.512837760968984
mkt,20,0.8,2.1307090408990366,0.0750658937245654,0.021704129258690818,0.0525865569671789,0.07209781666679765,-0.4057057967521714,0.2146,0.0,0.0108,6.107695950356547
mkt,20,0.9,2.1307090408990366,0.07920463035513914,0.01898951682480542,0.053693911717169196,0.07588087907671544,-0.45080620444452346,0.3456,0.0,0.0154,6.723493716178749
mkt,20,1.0,2.1307090408990366,0.08304690162591788,0.01584543404432789,0.05450472376287785,0.07937060413823337,-0.49382115742808075,0.4818,0.0,0.0202,7.348210901099683
mkt,20,1.1,2.1307090408990366,0.08654265528609362,0.012569420168216185,0.05508003037622272,0.08256732524307121,-0.5346179463077874,0.6114,0.0008,0.0272,7.964701636381486
mkt,20,1.2,2.1307090408990366,0.0897314087444453,0.008883410478258713,0.05523768375057314,0.08546962946514794,-0.5736639743841314,0.7216,0.0036,0.0344,8.570116272251834
mkt,20,1.3,2.1307090408990366,0.09266527316930018,0.004748589909002166,0.05519775608546085,0.08807733611173896,-0.6095507891201245,0.806,0.0102,0.0416,9.165972896665444
mkt,20,1.4,2.1307090408990366,0.09517185295845065,0.00036942497302475764,0.0548326898346021,0.09038844806523158,-0.643141036436945,0.8716,0.0208,0.0486,9.706369887844975
mkt,20,1.5,2.1307090408990366,0.09731028673921138,-0.004015322652602014,0.05399909632654326,0.09240313181159687,-0.6744745993807951,0.9232,0.032,0.0584,10.191460140836101
mkt,20,1.6,2.1307090408990366,0.09927579113603091,-0.008976052290619374,0.05292019625523392,0.09412001815276605,-0.7039008695611617,0.9504,0.0524,0.07,10.657777252104793
mkt,20,1.7,2.1307090408990366,0.10097266345347522,-0.014153736841548453,0.051681159572283586,0.09553818074121992,-0.7314029744045595,0.969,0.074,0.0796,11.076776759925071
mkt,20,1.8,2.1307090408990366,0.10211360381135304,-0.01957698979304861,0.050131120675578233,0.0966567661602348,-0.7570569160579654,0.9808,0.1028,0.0886,11.367346069036785
mkt,20,1.9,2.1307090408990366,0.10314964065288312,-0.025384857030902444,0.047934670142132874,0.0974743752712908,-0.7804876893455734,0.99,0.138,0.1002,11.63753211379299
mkt,20,2.0,2.1307090408990366,0.10372698535452718,-0.03150410276911866,0.04559502891067363,0.09798914493991562,-0.8013657026276614,0.9948,0.1814,0.1108,11.790752552982145
mkt,20,2.1,2.1307090408990366,0.10404726437905232,-0.03798072890602227,0.04301000735349331,0.09820138250241367,-0.8220449905932008,0.9968,0.231,0.1216,11.876592873492823
mkt,20,2.2,2.1307090408990366,0.10395841043847598,-0.04453237548419543,0.03994543164804826,0.0981076011733594,-0.8405791686452652,0.9976,0.282,0.1328,11.85271731876317
mkt,20,2.3,2.1307090408990366,0.10366567583537789,-0.05153499423018,0.03668801267674787,0.09771000237159053,-0.8572661142361007,0.999,0.332,0.1446,11.774399261952947
mkt,20,2.4,2.1307090408990366,0.10311968774306668,-0.058850424908665065,0.03294395222714286,0.09700393596850848,-0.8726754934554808,0.9998,0.3904,0.157,11.62963812549977
mkt,20,2.5,2.1307090408990366,0.10215873821263721,-0.06604729392971469,0.02897651347734015,0.0959886560973225,-0.886160177082056,0.9998,0.4446,0.1694,11.37899017752903
