series,mode,X,n_removed,n_obs,ann_arith_total,cagr,ann_vol,sharpe,max_dd,worst_day,best_day,skew,kurt,kelly_gauss,kelly_quad,kelly_emp,kelly_emp_half,kelly_emp_quarter,fmax_feasible,mean_daily_total,mean_daily_exc,ann_arith_exc,kelly_gauss_half,kelly_gauss_quarter
mkt,worst,1,1,26232,0.11458486463433375,0.10456324239982528,0.1738305436243363,0.4785583252861162,-0.8407399476860208,-0.12,0.1567,0.001843815542825575,13.841357317642462,2.7528123042361092,2.7504151345854027,2.718705939219172,1.359352969609586,0.679676484804793,8.327227310574521,0.0004360551997560232,0.00031660948459896304,0.08319739096109068,1.3764061521180546,0.6882030760590273
mkt,worst,5,5,26228,0.11905073726470113,0.1098028341687578,0.17239710806507558,0.5084551127063832,-0.8024023458235584,-0.09620000000000001,0.1567,0.17600392913992574,12.50243502257952,2.949124667047171,2.9462259751013,2.929072345717368,1.464536172858684,0.732268086429342,10.385254413291795,0.00045305017538508464,0.00033361293274363277,0.08766548996567543,1.4745623335235856,0.7372811667617928
mkt,worst,10,10,26223,0.12358380958691027,0.11508331442071706,0.17121770089243477,0.5383921536096992,-0.8024023458235584,-0.08280000000000001,0.1567,0.2948386009725025,11.901517424383236,3.144222896539704,3.1407582197676347,3.134572527999115,1.5672862639995575,0.7836431319997788,12.037304452466906,0.0004703008809060748,0.000350844678335812,0.09219358007261116,1.572111448269852,0.786055724134926
mkt,worst,20,20,26213,0.1311955536947714,0.1239366580656982,0.1695463015582534,0.5885435953717743,-0.8024023458235584,-0.0696,0.1567,0.4429853307012422,11.41298684001188,3.470931725296381,3.4663622954935382,3.4772184210204053,1.7386092105102027,0.8693046052551013,14.367816091954024,0.0004992675390073628,0.00037978865448441614,0.09979936390645336,1.7354658626481905,0.8677329313240952
mkt,worst,50,50,26183,0.1497150082223492,0.14560006934577086,0.16622718628790065,0.7115797076932283,-0.758433367989823,-0.0546,0.1567,0.7010632846677857,11.062558603691544,4.280168563870408,4.271936614128032,4.3321064941665135,2.1660532470832567,1.0830266235416284,18.315018315018314,0.0005697437268456632,0.0004502119695985945,0.1183049247482323,2.140084281935204,1.070042140967602
mkt,worst,100,100,26133,0.17410811509145505,0.17456180220134399,0.162768470833751,0.8761819790485837,-0.6910125119135904,-0.0431,0.1567,0.937483976108634,11.224411221456197,5.381759521055803,5.366082022395172,5.515433706758385,2.7577168533791925,1.3788584266895962,23.099307159353348,0.0006625722266865648,0.0005428691692496078,0.14265301802942276,2.6908797605279013,1.3454398802639507
mkt,worst,200,200,26033,0.21272818264480473,0.22164757002102586,0.158443626811608,1.14328245698385,-0.4815948240000786,-0.0338,0.1567,1.2075763994199609,11.899112519110972,7.213273846984276,7.1775699673140245,7.537745364805751,3.7688726824028755,1.8844363412014378,29.50147492625369,0.000809541735489571,0.0006896131832673914,0.18121383095295734,3.606636923492138,1.803318461746069
mkt,worst,500,500,25733,0.3019581048110078,0.3371592503197993,0.1508198005079645,1.791291066357288,-0.36769791717533995,-0.0244,0.1567,1.670565409286695,13.926636191653294,11.87058161782598,11.727374630111367,13.055098850393442,6.527549425196721,3.2637747125983605,40.65853658536585,0.0011491081490692884,0.0010287063303928807,0.2703193900279187,5.93529080891299,2.967645404456495
mkt,both,0,0,26233,0.11283653635191837,0.10244467074803998,0.17470275413524233,0.46614813037710473,-0.8407399476860208,-0.1741,0.1567,-0.15869808233192317,16.137895674264207,2.66801337253739,2.6658088848696426,2.6163616454101675,1.3081808227050837,0.6540904113525419,5.735665137614679,0.0004294018983722791,0.00030994930049937106,0.0814472540657653,1.334006686268695,0.6670033431343475
mkt,both,1,2,26231,0.11301944879936464,0.10295781601512277,0.17312877633444598,0.4714528313008097,-0.8407399476860208,-0.12,0.11359999999999999,-0.1161092926030627,12.365019446281055,2.7229465392664305,2.720645207792107,2.6835279518233266,1.3417639759116633,0.6708819879558316,8.327227310574521,0.00043009797567763336,0.0003106477069116694,0.08163077854674325,1.3614732696332152,0.6807366348166076
mkt,both,5,10,26223,0.1130268720631069,0.10351440270974677,0.17025183961156756,0.4794671258046048,-0.8222243327247492,-0.09620000000000001,0.0978,-0.11804064582254381,9.50378486357922,2.816072080266559,2.8136105089423147,2.7812265697807828,1.3906132848903914,0.6953066424451957,10.385254413291795,0.00043012622506959536,0.00031067383594554404,0.08163764463115464,1.4080360401332794,0.7040180200666397
mkt,both,10,20,26213,0.11291260374875318,0.1038476752363684,0.16779214331466621,0.4857673804303259,-0.8222243327247492,-0.08280000000000001,0.0867,-0.13368273899300226,7.8962260140064675,2.8948642216770812,2.892266899368312,2.861096298409235,1.4305481492046175,0.7152740746023087,12.037304452466906,0.0004296913745088315,0.0003102124899858849,0.08151641396043516,1.4474321108385406,0.7237160554192703
mkt,both,20,40,26193,0.11251024656380021,0.10406533953877428,0.16417500214901506,0.49394985542681275,-0.8754435064512656,-0.0696,0.0727,-0.16899071351961786,6.163086320360614,3.008463268965926,3.005672408238857,2.9739292590977917,1.4869646295488959,0.7434823147744479,14.367816091954024,0.0004281601954720727,0.0003086397129003932,0.08110312580439005,1.504231634482963,0.7521158172414815
mkt,both,50,100,26133,0.11238445042628686,0.10516703208461253,0.15719005833218028,0.5148502301418277,-0.9014386284492111,-0.0546,0.05410000000000001,-0.20070292436933918,4.037471335793766,3.2751756797649034,3.271875106538373,3.2386993277435687,1.6193496638717844,0.8096748319358922,18.315018315018314,0.00042768147552902465,0.0003080052041480121,0.08093639209833273,1.6375878398824517,0.8187939199412259
mkt,both,100,200,26033,0.11334810206375887,0.10744529921889834,0.15007076085383214,0.5451800492489223,-0.8843041717595979,-0.0431,0.0417,-0.20472162684169842,2.7758491399486305,3.6324666591011208,3.628362525609407,3.5932200516947486,1.7966100258473743,0.8983050129236871,23.099307159353348,0.0004313486728383206,0.00031139323166749896,0.08182668460009629,1.8162333295505604,0.9081166647752802
mkt,both,200,400,25833,0.11430295509754093,0.1100067773074298,0.14075433726612382,0.5872369316687805,-0.869587035491734,-0.0338,0.034,-0.22886248167347095,1.7348740380088348,4.171494196913491,4.166026810016701,4.123568572017891,2.0617842860089457,1.0308921430044728,29.50147492625369,0.000434982386869508,0.00031460534974644836,0.08267075231324784,2.0857470984567454,1.0428735492283727
mkt,both,500,1000,25233,0.12105943774824658,0.11997838465889266,0.12425550759562552,0.7176051882543651,-0.7621016364488502,-0.0244,0.0228,-0.2287285929682795,0.6478476408343603,5.7738349947679035,5.762541804264852,5.699458575304696,2.849729287652348,1.424864643826174,40.65853658536585,0.00046069432885507077,0.00033942060000792616,0.08919160585121617,2.8869174973839518,1.4434587486919759
